lipid_name,ISTA_X_hat,ISTA_raw_solver_reported,ISTA_joint_score,ISTA_retained_by_pool,ISTA_retained_by_fdp5,ISTA_retained_by_fdp1,NNLS_X_hat,NNLS_raw_solver_reported,NNLS_joint_score,NNLS_retained_by_pool,NNLS_retained_by_fdp5,NNLS_retained_by_fdp1
PE 18:0_22:6,0.2430186358557401,True,0.9999999999736098,True,True,True,0.292338984525117,True,0.9999999999484503,True,True,True
PE 18:1_20:1,0.004431943002525114,True,0.6370538778507585,True,False,False,0.0034993189133414554,True,0.433204224336683,False,False,False
PE 18:1_20:3,0.003302428208099872,True,0.01994617035573181,False,False,False,0.009513902880140196,True,0.3091120881781755,False,False,False
PE 18:1_20:4,0.02906358388086082,True,0.9789173870228036,True,True,True,0.035105057408917235,True,0.9788067036127689,True,True,True
PE 18:1_22:6,0.042849456658358986,True,0.9700263742826626,True,True,True,0.015582421002747423,True,0.9586026106330965,True,True,False
PE 20:1_18:2,0.001110697252484861,True,0.0034965135181815824,False,False,False,0,False,,False,False,False
PE 18:2_22:6,0.00235098424323507,True,0.21797643688258564,False,False,False,0.023112808948360847,True,0.98709154122733,True,True,True
PE 20:1_18:3,0.0022194340215394427,True,0.3320761085091329,False,False,False,0.0180139482664807,True,0.9932343840869355,True,True,True
PE 20:0_20:4,0.014489468912776554,True,0.9982520822194091,True,True,True,0.012030684689927807,True,0.9977043464649165,True,True,True
PE 20:1_20:4,0.02055197359367885,True,0.9843034166753882,True,True,True,0.005747978835646828,True,0.8637801795824175,True,True,False
