dataset_id,base_dataset_id,severity,candidate_index,candidate_id,lipid_name,X_hat,rho_zero,rho_zero_status,raw_solver_reported,candidate_truth,molecular_truth,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,replicate,split
MILD__CAL_R2_K050,CAL_R2_K050,MILD,37,PA-H__0199,PA 20:0_20:2,0.0,,NOT_COMPUTED,False,False,False,False,0.2807555140432376,0.7492730089935543,0.6350781709113766,PA,0.49169235917013354,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,38,PA-H__0200,PA 20:0_20:3,0.001036554127861151,7.932242301177012e-07,COMPUTED,True,False,False,False,0.28594755195446475,0.8048190171061798,0.7203920412647556,PA,0.4076195370011738,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,39,PA-H__0201,PA 20:0_20:4,0.0002124023474203012,,NOT_COMPUTED,False,False,False,False,0.1645114953783594,0.8957566529041909,0.8619613486853611,PA,0.3424625013635971,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,40,PA-H__0202,PA 20:0_20:5,0.0003413781012219984,,NOT_COMPUTED,False,False,False,False,0.18367672004065808,0.9361340206999159,0.9175683792240663,PA,0.2139012841901092,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,41,PA-H__0204,PA 20:0_22:1,1.8265378018284248e-10,,NOT_COMPUTED,False,False,False,False,0.3017443733307278,0.7600275012777736,0.7258338470317759,PA,0.3861256918000734,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,42,PA-H__0205,PA 20:0_22:2,4.569867764263658e-08,,NOT_COMPUTED,False,False,False,False,0.3285634366810597,0.6941352616525697,0.6532726123926598,PA,0.4285593366507624,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,43,PA-H__0206,PA 20:0_22:3,6.561269200343281e-08,,NOT_COMPUTED,False,False,False,False,0.3047114646464892,0.6917588469202741,0.6545603952551788,PA,0.45129825021396425,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,44,PA-H__0207,PA 20:0_22:4,1.0538111640368703e-08,,NOT_COMPUTED,False,False,False,False,0.241048023112079,0.8303328039494347,0.811768772008992,PA,0.3429309669132585,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,45,PA-H__0208,PA 20:0_22:5,0.0009424635995394426,,NOT_COMPUTED,False,False,False,False,0.18797776572568772,0.9337578006589683,0.9226232034454928,PA,0.19772474199752751,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,46,PA-H__0209,PA 20:0_22:6,0.0,,NOT_COMPUTED,False,False,False,False,0.18342642508946627,0.9361340206999159,0.9226232034454928,PA,0.20227608263374897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,47,PA-H__0217,PA 20:1_20:1,9.833994233548203e-05,,NOT_COMPUTED,False,False,False,False,0.4231895167566119,0.9753576763078726,0.6587714343940032,PA,0.3291536211973855,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,48,PA-H__0218,PA 20:1_20:2,0.01827671421976388,1.0139445899074854e-05,COMPUTED,True,True,True,True,0.4799544894237642,0.9253440230489325,0.6127851649721114,PA,0.31029505444836114,B1_U9_U37,37,spectral_easy_spatial_high,0.15578981937602626,0.15053530377668312,0.15053530377668312,0.15578981937602626,0.0,0.0,0.0,0.0,159,0.9959390505017323,0.5340342571614348,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,49,PA-H__0219,PA 20:1_20:3,0.048900568942630646,0.00032262920591446615,COMPUTED,True,True,True,True,0.2950230689775499,0.8311619582958673,0.670144021014576,PA,0.44720802111394947,B1_U95_U125,95,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.05022587307821144,0.0661764705882353,0.05302766559774588,0.11301892928657031,248,-0.22838524714375422,2.0,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,50,PA-H__0220,PA 20:1_20:4,0.0004284665992805883,,NOT_COMPUTED,False,False,False,False,0.3008190275753367,0.858855563387748,0.7773054894334199,PA,0.3283043117601799,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,51,PA-H__0222,PA 22:0_20:1,2.4656027505715182e-08,,NOT_COMPUTED,False,False,False,False,0.4020166500263304,0.8495611434984474,0.7558192210470013,PA,0.2527636987135384,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,52,PA-H__0223,PA 20:1_22:1,0.0,,NOT_COMPUTED,False,False,False,False,0.48292710886676304,0.8982874947005188,0.7105340184716673,PA,0.22073574264275386,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,53,PA-H__0224,PA 20:1_22:2,5.940806978242387e-07,,NOT_COMPUTED,False,False,False,False,0.34352237197995034,0.9019786006016902,0.8163714083818836,PA,0.2340048772270285,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
