score,threshold,TP,FP,FDR,precision,all_truth_recall,TP_retention,reportable_truth_recall,coverage,solver_FN,post_solver_true_loss
X_hat,0.01966722872960898,39,0,0.0,1.0,0.312,0.312,0.312,0.1848341232227488,0,86
X_hat,0.019582244996079,40,0,0.0,1.0,0.32,0.32,0.32,0.1895734597156398,0,85
X_hat,0.01923545945221576,41,0,0.0,1.0,0.328,0.328,0.328,0.1943127962085308,0,84
X_hat,0.01916143413892891,42,0,0.0,1.0,0.336,0.336,0.336,0.1990521327014218,0,83
X_hat,0.018794659972922064,43,0,0.0,1.0,0.344,0.344,0.344,0.2037914691943128,0,82
X_hat,0.018414296059840927,44,0,0.0,1.0,0.352,0.352,0.352,0.20853080568720378,0,81
X_hat,0.018412355570183926,45,0,0.0,1.0,0.36,0.36,0.36,0.2132701421800948,0,80
X_hat,0.018012962977881606,45,1,0.021739130434782608,0.9782608695652174,0.36,0.36,0.36,0.21800947867298578,0,80
X_hat,0.017795285756527876,46,1,0.02127659574468085,0.9787234042553191,0.368,0.368,0.368,0.22274881516587677,0,79
X_hat,0.017419135065479863,47,1,0.020833333333333332,0.9791666666666666,0.376,0.376,0.376,0.22748815165876776,0,78
X_hat,0.01614339497327384,47,2,0.04081632653061224,0.9591836734693877,0.376,0.376,0.376,0.23222748815165878,0,78
X_hat,0.015455969715431912,47,3,0.06,0.94,0.376,0.376,0.376,0.23696682464454977,0,78
X_hat,0.015259561448278336,48,3,0.058823529411764705,0.9411764705882353,0.384,0.384,0.384,0.24170616113744076,0,77
X_hat,0.015252090876572106,49,3,0.057692307692307696,0.9423076923076923,0.392,0.392,0.392,0.24644549763033174,0,76
X_hat,0.015066095061970083,50,3,0.05660377358490566,0.9433962264150944,0.4,0.4,0.4,0.25118483412322273,0,75
X_hat,0.014831852937702466,51,3,0.05555555555555555,0.9444444444444444,0.408,0.408,0.408,0.2559241706161137,0,74
X_hat,0.014674515294907455,52,3,0.05454545454545454,0.9454545454545454,0.416,0.416,0.416,0.26066350710900477,0,73
X_hat,0.014484504494967314,52,4,0.07142857142857142,0.9285714285714286,0.416,0.416,0.416,0.26540284360189575,0,73
X_hat,0.014304456635737827,53,4,0.07017543859649122,0.9298245614035088,0.424,0.424,0.424,0.27014218009478674,0,72
X_hat,0.013662682868544792,53,5,0.08620689655172414,0.9137931034482759,0.424,0.424,0.424,0.27488151658767773,0,72
X_hat,0.013349541200931087,54,5,0.0847457627118644,0.9152542372881356,0.432,0.432,0.432,0.2796208530805687,0,71
X_hat,0.012961993441570384,55,5,0.08333333333333333,0.9166666666666666,0.44,0.44,0.44,0.2843601895734597,0,70
X_hat,0.01282613310691568,56,5,0.08196721311475409,0.9180327868852459,0.448,0.448,0.448,0.2890995260663507,0,69
X_hat,0.012693685155800164,56,6,0.0967741935483871,0.9032258064516129,0.448,0.448,0.448,0.2938388625592417,0,69
X_hat,0.012586186526031138,56,7,0.1111111111111111,0.8888888888888888,0.448,0.448,0.448,0.2985781990521327,0,69
X_hat,0.012416798774639977,57,7,0.109375,0.890625,0.456,0.456,0.456,0.3033175355450237,0,68
X_hat,0.012080289049489096,58,7,0.1076923076923077,0.8923076923076924,0.464,0.464,0.464,0.3080568720379147,0,67
X_hat,0.012054262243989438,59,7,0.10606060606060606,0.8939393939393939,0.472,0.472,0.472,0.3127962085308057,0,66
X_hat,0.012016046082271014,60,7,0.1044776119402985,0.8955223880597015,0.48,0.48,0.48,0.3175355450236967,0,65
X_hat,0.011790539851074438,61,7,0.10294117647058823,0.8970588235294118,0.488,0.488,0.488,0.3222748815165877,0,64
X_hat,0.01139053012683264,62,7,0.10144927536231885,0.8985507246376812,0.496,0.496,0.496,0.32701421800947866,0,63
X_hat,0.011328789785131908,63,7,0.1,0.9,0.504,0.504,0.504,0.33175355450236965,0,62
X_hat,0.011270374281856638,64,7,0.09859154929577464,0.9014084507042254,0.512,0.512,0.512,0.33649289099526064,0,61
X_hat,0.011156757090457336,65,7,0.09722222222222222,0.9027777777777778,0.52,0.52,0.52,0.3412322274881517,0,60
X_hat,0.010723414035108805,66,7,0.0958904109589041,0.9041095890410958,0.528,0.528,0.528,0.3459715639810427,0,59
X_hat,0.0106228807445151,67,7,0.0945945945945946,0.9054054054054054,0.536,0.536,0.536,0.35071090047393366,0,58
X_hat,0.01059487996038351,68,7,0.09333333333333334,0.9066666666666666,0.544,0.544,0.544,0.35545023696682465,0,57
X_hat,0.010460263134482903,69,7,0.09210526315789473,0.9078947368421053,0.552,0.552,0.552,0.36018957345971564,0,56
X_hat,0.010337375746300309,70,7,0.09090909090909091,0.9090909090909091,0.56,0.56,0.56,0.36492890995260663,0,55
X_hat,0.009842100594524776,70,8,0.10256410256410256,0.8974358974358975,0.56,0.56,0.56,0.3696682464454976,0,55
X_hat,0.009742517436075583,71,8,0.10126582278481013,0.8987341772151899,0.568,0.568,0.568,0.3744075829383886,0,54
X_hat,0.009316927506681482,72,8,0.1,0.9,0.576,0.576,0.576,0.3791469194312796,0,53
X_hat,0.009199362120159546,73,8,0.09876543209876543,0.9012345679012346,0.584,0.584,0.584,0.38388625592417064,0,52
X_hat,0.00898066658350029,74,8,0.0975609756097561,0.9024390243902439,0.592,0.592,0.592,0.3886255924170616,0,51
