dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_17:0,PC,8.204798516793982e-05,,NOT_COMPUTED,False,False,False,[840]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_17:1,PC,0.02136851614075066,0.00011459787258169631,COMPUTED,True,True,True,[842]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_18:0,PC,0.00029811197700874766,,NOT_COMPUTED,False,False,False,"[702, 811]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_18:1,PC,5.7454186622160416e-05,,NOT_COMPUTED,False,False,False,"[703, 812]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_18:2,PC,1.5105180306478592e-07,,NOT_COMPUTED,False,False,False,[813]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_18:3,PC,0.00017102638276251286,,NOT_COMPUTED,False,False,False,[814]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_20:0,PC,0.00034994939631804116,,NOT_COMPUTED,False,False,False,"[704, 815]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_20:1,PC,0.00011570531272050801,,NOT_COMPUTED,False,False,False,"[705, 816]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_20:2,PC,4.307086513300269e-06,,NOT_COMPUTED,False,False,False,"[706, 817]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_20:3,PC,5.4826290329159124e-05,,NOT_COMPUTED,False,False,False,"[707, 818]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_20:4,PC,0.00045151976575581547,,NOT_COMPUTED,False,False,False,"[708, 819]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_20:5,PC,1.231142640721193e-05,,NOT_COMPUTED,False,False,False,"[709, 820]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_22:5,PC,0.006581304578591974,2.5009025308902407e-06,COMPUTED,True,True,True,[710]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 12:0_22:6,PC,0.0,,NOT_COMPUTED,False,False,False,[711]
