domain,lipid_name,molecular_truth,NNLS_rho,ISTA_rho,absolute_difference
MILD,PA 22:4_22:6,True,0.0,0.0,0.0
MILD,PC 14:0_18:0,False,0.0,0.0,0.0
MILD,PC 14:0_18:2,True,5.8091438612578425e-06,5.8091438612578425e-06,0.0
MILD,PC 14:0_20:0,True,1.3458915464334212e-05,1.3458915464334212e-05,0.0
MILD,PC 14:0_20:1,True,2.5763920432146425e-08,2.5763920432146425e-08,0.0
MILD,PC 14:0_20:3,True,3.828690575080547e-05,3.828690575080547e-05,0.0
MILD,PC 17:0_17:0,True,4.7214704469435585e-05,4.7214704469435585e-05,0.0
MILD,PC 18:0_14:1,True,0.00035541208069585814,0.00035541208069585814,0.0
MILD,PC O-16:1_17:1,True,0.00012921013642358583,0.00012921013642358583,0.0
MILD,PC O-16:1_18:0,True,0.00010917467612850081,0.00010917467612850081,0.0
MILD,PE 16:0_22:3,False,0.0,0.0,0.0
MILD,PE 16:0_22:4,False,5.334277806883081e-07,5.334277806883081e-07,0.0
MILD,PE 16:0_22:6,True,0.0,0.0,0.0
MILD,PE 16:0_24:4,False,1.6863483420901576e-07,1.6863483420901576e-07,0.0
MILD,PE 16:0_24:5,False,0.0,0.0,0.0
MILD,PE 16:1_22:2,True,1.3287116193309758e-06,1.3287116193309758e-06,0.0
MILD,PE 17:0_20:0,False,2.919677675568251e-08,2.919677675568251e-08,0.0
MILD,PE 17:0_20:1,True,0.0,0.0,0.0
MILD,PE 17:0_20:2,True,0.0,0.0,0.0
MILD,PE 17:0_20:4,True,1.090299659591962e-06,1.090299659591962e-06,0.0
MILD,PE 17:0_20:5,True,5.264267975691159e-05,5.264267975691159e-05,0.0
MILD,PE 17:0_22:2,False,1.9739720590925727e-06,1.9739720590925727e-06,0.0
MILD,PE 17:0_22:5,False,0.0,0.0,0.0
MILD,PE 17:1_20:1,False,1.0874742489116952e-06,1.0874742489116952e-06,0.0
MILD,PE 17:1_20:2,False,0.0,0.0,0.0
MILD,PE 17:1_20:4,True,1.2887134164824975e-08,1.2887134164824975e-08,0.0
MILD,PE 17:1_22:1,True,1.0706220360063319e-05,1.0706220360063319e-05,0.0
MILD,PE 18:0_20:0,True,0.00018184137379182008,0.00018184137379182008,0.0
MILD,PE 18:0_20:4,True,4.882100253894233e-06,4.882100253894233e-06,0.0
MILD,PE 18:0_22:3,True,0.0,0.0,0.0
MILD,PE 18:0_22:4,True,0.0,0.0,0.0
MILD,PE 18:0_22:5,True,3.4110935277019974e-06,3.4110935277019974e-06,0.0
MILD,PE 18:0_22:6,True,1.6388739389102532e-05,1.6388739389102532e-05,0.0
MILD,PE 18:1_20:3,True,0.0,0.0,0.0
MILD,PE 18:1_20:5,False,1.2745442857327864e-07,1.2745442857327864e-07,0.0
MILD,PE 18:1_22:3,False,9.172086170267859e-08,9.172086170267859e-08,0.0
MILD,PE 18:2_20:2,False,0.0,0.0,0.0
MILD,PE 18:2_20:4,False,6.149296007707211e-07,6.149296007707211e-07,0.0
MILD,PE 18:2_22:2,False,3.4730254983860087e-07,3.4730254983860087e-07,0.0
MILD,PE 18:2_22:3,True,1.9632249799889205e-06,1.9632249799889205e-06,0.0
MILD,PE 18:2_22:4,True,0.0,0.0,0.0
MILD,PE 18:2_22:5,True,0.0,0.0,0.0
MILD,PE 18:2_22:6,True,2.470147931174512e-05,2.470147931174512e-05,0.0
MILD,PE 20:0_17:1,True,4.767565484545883e-05,4.767565484545883e-05,0.0
MILD,PE 20:0_20:3,False,0.0,0.0,0.0
MILD,PE 20:0_20:4,True,1.7512146450466613e-05,1.7512146450466613e-05,0.0
MILD,PE 20:0_20:5,False,0.0,0.0,0.0
MILD,PE 20:1_18:3,False,0.0,0.0,0.0
MILD,PE 20:1_20:2,True,7.409885003223168e-07,7.409885003223168e-07,0.0
MILD,PE 20:1_20:3,False,0.0,0.0,0.0
MILD,PE 20:2_20:2,True,9.049997496953484e-08,9.049997496953484e-08,0.0
MILD,PE 20:2_20:4,True,6.794001730614727e-07,6.794001730614727e-07,0.0
MILD,PE 20:2_20:5,True,8.254303120015247e-05,8.254303120015247e-05,0.0
MILD,PE 20:3_20:4,False,6.784430086076244e-07,6.784430086076244e-07,0.0
MILD,PE 20:3_20:5,True,6.933346921735912e-06,6.933346921735912e-06,0.0
MILD,PE 20:4_20:4,False,0.0,0.0,0.0
MILD,PE 22:1_18:2,True,5.942505155796931e-05,5.942505155796931e-05,0.0
