dataset,lipid_name,lipid_class,X_hat,reported_candidate_indices,rho_zero,retained_by_legacy_rho,joint_score,retained_by_joint_pool,retained_by_joint_dev5,retained_by_joint_dev1,molecular_truth
ISTA_PARTIAL_4500,PE 20:1_20:4,PE,0.022113372953415415,[175],2.1422679909286225e-06,False,0.9850295191915963,True,True,True,
ISTA_PARTIAL_4500,PE 20:2_20:4,PE,0.002976078526299312,[179],0.0008389621084076506,False,0.18919759350290752,False,False,False,
ISTA_PARTIAL_4500,PE 20:3_20:4,PE,0.011129906042648751,[182],0.0,False,0.9527799671315406,True,True,False,
ISTA_PARTIAL_4500,PE O-16:0_22:4,PE,0.001723144611498962,[211],0.0,False,0.03629453993684578,False,False,False,
ISTA_PARTIAL_4500,PE O-16:0_22:5,PE,0.005136807432688935,[212],0.0,False,0.7133216706516834,True,False,False,
ISTA_PARTIAL_4500,PE O-16:1_22:1,PE,0.001817068493021414,[215],5.669198324961753e-06,False,0.07009503798565372,False,False,False,
ISTA_PARTIAL_4500,PE O-16:1_22:2,PE,0.001285011725573153,[216],1.0084685632259315e-05,False,0.0024578397270371664,False,False,False,
ISTA_PARTIAL_4500,PE O-16:1_22:4,PE,0.008585171168662378,[218],0.0,False,0.9226446889051431,True,True,False,
ISTA_PARTIAL_4500,PE O-16:1_24:0,PE,0.0014797468707093218,[220],3.104387290755964e-06,False,0.020070948669892688,False,False,False,
ISTA_PARTIAL_4500,PE O-16:1_24:4,PE,0.0011095370673912567,[222],3.964401827561168e-06,False,0.004158256196876729,False,False,False,
ISTA_PARTIAL_4500,PE O-16:1_24:6,PE,0.001345897480758481,[224],3.420899005156468e-05,False,0.013558061816851543,False,False,False,
ISTA_PARTIAL_4500,PE O-18:0_20:3,PE,0.0025429381475161232,[227],0.0,False,0.17618207348541304,False,False,False,
ISTA_PARTIAL_4500,PE O-18:0_20:4,PE,0.008554620249179102,[228],6.343989945850036e-05,False,0.916078047960677,True,True,False,
ISTA_PARTIAL_4500,PE O-18:0_20:5,PE,0.0036287084857076985,[229],0.0,False,0.3865340797540688,False,False,False,
ISTA_PARTIAL_4500,PE O-18:0_22:6,PE,0.0026493419174926707,[235],0.0,False,0.21594174642726433,False,False,False,
ISTA_PARTIAL_4500,PE O-18:1_20:1,PE,0.012347898761149029,[236],3.0264265849368767e-07,False,0.9709871435294253,True,True,True,
ISTA_PARTIAL_4500,PE O-18:1_20:2,PE,0.004115339573576544,[237],0.0,False,0.6202084124083841,False,False,False,
ISTA_PARTIAL_4500,PE O-18:1_20:4,PE,0.06160948225353948,[239],0.0011441976961459226,True,0.9994009756358677,True,True,True,
ISTA_PARTIAL_4500,PE O-18:1_22:4,PE,0.0166747678553325,[244],0.0,False,0.9549965207207848,True,True,False,
ISTA_PARTIAL_4500,PE O-18:1_22:6,PE,0.07109609341021213,[246],0.001832565857962544,True,0.9997539032623233,True,True,True,
ISTA_PARTIAL_4500,PE O-20:1_18:2,PE,0.002254151108511438,[248],0.0,False,0.08758702234568903,False,False,False,
ISTA_PARTIAL_4500,PE O-18:2_22:4,PE,0.00642041761500554,[256],0.0,False,0.8307882309322918,True,True,False,
ISTA_PARTIAL_4500,PE O-18:2_22:6,PE,0.04241748673043912,[258],0.0002933056357237929,False,0.9987530503574497,True,True,True,
ISTA_PARTIAL_4500,PE O-18:3_22:0,PE,0.0010623307715242922,[260],3.284360508134398e-06,False,0.003104619447990239,False,False,False,
ISTA_PARTIAL_4500,PE O-20:0_20:3,PE,0.001186902039573296,[266],0.0,False,0.004281962363575383,False,False,False,
ISTA_PARTIAL_4500,PE O-20:0_20:4,PE,0.0038571834711514786,[267],1.4714155344993335e-05,False,0.5295368385217973,False,False,False,
ISTA_PARTIAL_4500,PE O-20:1_20:4,PE,0.03574184222353183,[271],0.00020889701313465392,False,0.99410235857657,True,True,True,
ISTA_PARTIAL_4500,PG 14:0_20:0,PG,0.002985898739249933,[277],7.656797266103282e-06,False,0.3289703294657599,False,False,False,
ISTA_PARTIAL_4500,PG 14:0_22:4,PG,0.0012664648410172959,[283],0.0,False,0.007185309775564383,False,False,False,
ISTA_PARTIAL_4500,PG 16:0_20:4,PG,0.01033565858467288,[284],1.571989819966083e-17,False,0.9398886890487627,True,True,False,
ISTA_PARTIAL_4500,PG 16:1_20:3,PG,0.0028951011720061313,[285],1.4407753482108483e-05,False,0.2841665638999944,False,False,False,
ISTA_PARTIAL_4500,PG 14:0_22:2,PG,0.0015463372472425665,[293],0.0,False,0.020364367111208044,False,False,False,
ISTA_PARTIAL_4500,PG 16:1_20:1,PG,0.010940723252021296,[295],2.919932682823108e-05,False,0.9589994769240515,True,True,True,
ISTA_PARTIAL_4500,PG 14:0_22:1,PG,0.02474872290345047,[298],0.00013441678370542176,False,0.9788693358533963,True,True,True,
ISTA_PARTIAL_4500,PG 16:0_20:1,PG,0.0012250513400210064,[299],0.0,False,0.0063950017818085615,False,False,False,
ISTA_PARTIAL_4500,PG 14:0_22:0,PG,0.00838668991006167,[302],0.00012501860153572424,False,0.9183769868209428,True,True,False,
ISTA_PARTIAL_4500,PG 16:0_22:6,PG,0.0048481623402500795,[308],0.00021740297484383028,False,0.45522841402269537,False,False,False,
ISTA_PARTIAL_4500,PG 16:1_22:4,PG,0.005303449970526496,[313],2.8311063452497585e-07,False,0.7540491430345363,True,False,False,
ISTA_PARTIAL_4500,PG 16:0_22:4,PG,0.014960491602126341,[319],6.420630489332761e-05,False,0.972722072285194,True,True,True,
ISTA_PARTIAL_4500,PG 18:0_20:4,PG,0.0026319277733338016,[321],0.0,False,0.19830765572126308,False,False,False,
ISTA_PARTIAL_4500,PG 18:2_20:2,PG,0.001911182646534952,[323],0.0,False,0.0517556058090263,False,False,False,
ISTA_PARTIAL_4500,PG 17:0_20:1,PG,0.004781794324380169,[329],8.518268395036036e-06,False,0.7187530717519195,True,False,False,
ISTA_PARTIAL_4500,PG 17:1_20:1,PG,0.0028699970812706903,[338],0.0,False,0.2643897300132565,False,False,False,
ISTA_PARTIAL_4500,PC 14:0_18:0,PC,0.011969626936899456,[355],0.0002542093841047771,False,0.9327601621384549,True,True,False,
ISTA_PARTIAL_4500,PC O-16:1_16:1,PC,0.004412889765997041,[349],7.72443565550052e-05,False,0.6254909209068857,False,False,False,
ISTA_PARTIAL_4500,PC 14:1_20:1,PC,0.0012223139773250675,[378],0.0,False,0.005937481644632545,False,False,False,
ISTA_PARTIAL_4500,PC 16:0_18:0,PC,0.0024368111986651556,[381],0.0,False,0.15115450709186257,False,False,False,
ISTA_PARTIAL_4500,PC 16:0_18:1,PC,0.04687440651045472,[382],0.00014990294742948563,False,0.948145928499924,True,True,False,
