selected_pair_order,matched_pair_id,pair_ambiguity_score,rank_feature_distance,matched_within_lipid_class,cal_candidate_index,cal_candidate_id,cal_lipid_name,cal_lipid_class,hold_candidate_index,hold_candidate_id,hold_lipid_name,hold_lipid_class
102,145,0.635733695652174,0.2282002054480684,True,318,PG-H__0099,PG 14:0_24:4,PG,322,PG-H__0103,PG 18:1_20:3,PG
103,147,0.644429347826087,0.13407097591639958,True,187,PE-H__0460,PE 17:0_20:1,PE,144,PE-H__0136,PE 18:1_20:2,PE
104,148,0.6452445652173913,0.2641641204588677,True,204,PE-H__0490,PE 17:1_22:3,PE,128,PE-H__0096,PE 16:1_22:3,PE
105,150,0.6509510869565218,0.13508605611502164,True,200,PE-H__0483,PE 17:1_20:2,PE,119,PE-H__0072,PE 16:0_22:4,PE
106,151,0.6520380434782609,0.39810710035198027,True,39,PA-H__0201,PA 20:0_20:4,PA,13,PA-H__0128,PA 18:0_24:4,PA
107,152,0.6566576086956522,0.18404684880951033,True,57,PA-H__0228,PA 20:1_22:6,PA,62,PA-H__0246,PA 20:2_22:6,PA
108,154,0.6589673913043479,0.041745357325372885,True,239,PEO-H__0153,PE O-18:1_20:4,PE,170,PE-H__0200,PE 20:0_20:3,PE
109,155,0.6595108695652174,0.2159257665795536,True,3,PA-H__0080,PA 16:0_24:5,PA,15,PA-H__0130,PA 18:0_24:6,PA
110,157,0.6620923913043479,0.10570791884624954,True,121,PE-H__0074,PE 16:0_22:6,PE,199,PE-H__0482,PE 17:1_20:1,PE
111,158,0.6654891304347826,0.1547482176619983,True,149,PE-H__0143,PE 18:1_22:3,PE,162,PE-H__0166,PE 18:2_22:4,PE
112,160,0.6705163043478262,0.43071509386614365,True,284,PG-H__0057,PG 16:0_20:4,PG,303,PG-H__0080,PG 16:0_20:0,PG
113,161,0.6709239130434782,0.07422011023775905,True,276,PEO-H__0321,PE O-20:3_20:4,PE,216,PEO-H__0101,PE O-16:1_22:2,PE
114,162,0.6730978260869565,0.08458903487105096,True,242,PEO-H__0157,PE O-18:1_22:2,PE,255,PEO-H__0186,PE O-18:2_22:3,PE
115,164,0.6783967391304349,0.2176840759528369,True,188,PE-H__0461,PE 17:0_20:2,PE,123,PE-H__0080,PE 16:0_24:5,PE
116,165,0.6820652173913043,0.07871058890195778,True,160,PE-H__0164,PE 18:2_22:2,PE,182,PE-H__0255,PE 20:3_20:4,PE
117,167,0.6854619565217391,0.09276021298205588,True,287,PG-H__0060,PG 18:2_18:2,PG,319,PG-H__0100,PG 16:0_22:4,PG
118,168,0.6858695652173913,0.15298454506990486,True,261,PEO-H__0214,PE O-18:3_22:3,PE,249,PEO-H__0179,PE O-18:2_20:2,PE
119,170,0.7002717391304347,0.1494812232551638,True,231,PEO-H__0129,PE O-18:0_22:2,PE,275,PEO-H__0320,PE O-20:3_20:3,PE
120,171,0.7025815217391305,0.012526554969147924,True,272,PEO-H__0291,PE O-20:2_20:2,PE,273,PEO-H__0292,PE O-20:2_20:3,PE
121,172,0.7073369565217392,0.2586022963631801,True,202,PE-H__0485,PE 17:1_20:4,PE,167,PE-H__0181,PE 18:3_20:4,PE
122,174,0.7078804347826086,0.08967391304347827,True,297,PG-H__0072,PG 18:1_18:1,PG,321,PG-H__0102,PG 18:0_20:4,PG
123,175,0.7184782608695652,0.044898672939832414,True,174,PE-H__0219,PE 20:1_20:3,PE,138,PE-H__0120,PE 18:0_22:3,PE
124,177,0.7239130434782609,0.10429261446954065,True,294,PG-H__0069,PG 16:0_20:2,PG,289,PG-H__0063,PG 16:0_20:3,PG
125,178,0.7279891304347825,0.05448352623848755,True,250,PEO-H__0180,PE O-18:2_20:3,PE,243,PEO-H__0158,PE O-18:1_22:3,PE
126,180,0.7410326086956522,0.17406158737750865,True,148,PE-H__0142,PE 18:1_22:2,PE,157,PE-H__0160,PE 18:2_20:4,PE
127,181,0.7463315217391304,0.3580182379701929,True,178,PE-H__0237,PE 20:2_20:3,PE,156,PE-H__0159,PE 18:2_20:3,PE
128,183,0.7716032608695653,0.22378917664017053,True,177,PE-H__0236,PE 20:2_20:2,PE,129,PE-H__0097,PE 16:1_22:4,PE
