member_a_index,member_a_lipid_name,member_a_class,member_b_index,member_b_lipid_name,member_b_class,rank_feature_distance,matched_within_lipid_class,pair_ambiguity_score,matched_pair_id,selected_for_high129,selected_for_base76
192,PE 17:0_22:1,PE,194,PE 17:0_22:3,PE,0.10924622786807169,True,0.5604619565217391,101,True,True
310,PG 18:1_20:5,PG,311,PG 18:2_20:4,PG,0.23873253085863713,True,0.5610054347826088,102,True,False
133,PE 18:0_20:1,PE,146,PE 18:1_20:4,PE,0.15091310963196725,True,0.5623641304347826,103,False,False
154,PE 20:1_18:2,PE,203,PE 17:1_22:1,PE,0.47043058846478836,True,0.5627717391304348,104,True,True
226,PE O-18:0_20:2,PE,274,PE O-20:2_20:4,PE,0.128818392648329,True,0.5650815217391304,105,True,False
247,PE O-20:0_18:2,PE,248,PE O-20:1_18:2,PE,0.04408962157496726,True,0.5664402173913043,106,False,False
175,PE 20:1_20:4,PE,179,PE 20:2_20:4,PE,0.12100784825115392,True,0.5665760869565217,107,True,True
282,PG 18:2_18:3,PG,300,PG 20:0_16:1,PG,0.15146866858012809,True,0.5676630434782608,108,True,True
145,PE 18:1_20:3,PE,195,PE 17:0_22:4,PE,0.13574042776097867,True,0.5691576086956522,109,False,False
163,PE 18:2_22:5,PE,206,PE 17:1_22:5,PE,0.1474982878533162,True,0.574320652173913,110,True,False
122,PE 16:0_24:4,PE,151,PE 18:1_22:5,PE,0.0640895457340802,True,0.5786684782608695,111,True,True
266,PE O-20:0_20:3,PE,268,PE O-20:1_20:1,PE,0.409650682258043,True,0.5790760869565217,112,True,False
6,PA 18:0_22:1,PA,7,PA 18:0_22:2,PA,0.182166584370591,True,0.5807065217391304,113,False,False
313,PG 16:1_22:4,PG,332,PG 17:0_20:4,PG,0.25403612217657234,True,0.5820652173913043,114,True,True
20,PA 18:1_22:4,PA,36,PA 20:0_20:1,PA,0.11312314291575352,True,0.5831521739130434,115,True,True
117,PE 16:0_22:2,PE,161,PE 18:2_22:3,PE,0.1921677957417081,True,0.5836956521739131,116,False,False
25,PA 18:1_24:6,PA,34,PA 18:2_24:6,PA,0.10511247520294256,True,0.5876358695652173,117,True,False
291,PG 18:0_18:3,PG,301,PG 18:0_18:1,PG,0.10098317486990244,True,0.5918478260869564,118,True,True
2,PA 16:0_24:4,PA,45,PA 20:0_22:5,PA,0.1895076043034867,True,0.5918478260869566,119,False,False
236,PE O-18:1_20:1,PE,265,PE O-20:0_20:2,PE,0.07579524826620301,True,0.5918478260869566,120,True,False
8,PA 18:0_22:3,PA,23,PA 18:1_24:4,PA,0.08708380629870689,True,0.5945652173913043,121,True,True
118,PE 16:0_22:3,PE,169,PE 18:3_22:5,PE,0.15786616900301975,True,0.5948369565217391,122,True,False
251,PE O-18:2_20:4,PE,259,PE O-18:3_20:3,PE,0.21493603287440724,True,0.5952445652173912,123,False,False
244,PE O-18:1_22:4,PE,269,PE O-20:1_20:2,PE,0.1314779391674233,True,0.5959239130434781,124,True,True
323,PG 18:2_20:2,PG,342,PG 17:0_17:0,PG,0.20505053782514646,True,0.5961956521739131,125,True,True
131,PE 16:1_22:6,PE,134,PE 18:0_20:2,PE,0.17950729899435713,True,0.5985054347826086,126,False,False
312,PG 16:0_22:5,PG,314,PG 18:0_20:5,PG,0.11462270905041773,True,0.5995923913043479,127,True,False
238,PE O-18:1_20:3,PE,241,PE O-18:1_22:1,PE,0.07878091855610991,True,0.6002717391304347,128,True,True
135,PE 18:0_20:3,PE,139,PE 18:0_22:4,PE,0.05198675671116571,True,0.6048913043478261,129,False,False
191,PE 17:0_20:5,PE,253,PE O-22:1_18:2,PE,0.20708857422758592,True,0.6061141304347826,130,True,False
137,PE 18:0_20:5,PE,198,PE 20:0_17:1,PE,0.43067008829583353,True,0.6067934782608695,131,True,True
171,PE 20:0_20:4,PE,257,PE O-18:2_22:5,PE,0.09263076385358324,True,0.6073369565217391,132,True,True
304,PG 18:0_18:0,PG,315,PG 18:1_20:4,PG,0.22203348562364475,True,0.6099184782608696,133,False,False
217,PE O-16:1_22:3,PE,262,PE O-18:3_22:4,PE,0.05611922942408529,True,0.6111413043478261,134,True,False
288,PG 14:0_22:3,PG,293,PG 14:0_22:2,PG,0.0794575625935513,True,0.6152173913043477,135,True,True
9,PA 18:0_22:4,PA,78,PA 22:4_22:6,PA,0.12802056984855137,True,0.6173913043478261,136,False,False
150,PE 18:1_22:4,PE,205,PE 17:1_22:4,PE,0.04506283682548093,True,0.6195652173913044,137,True,False
24,PA 18:1_24:5,PA,44,PA 20:0_22:4,PA,0.03429192789164122,True,0.6199728260869566,138,True,True
210,PE O-16:0_22:3,PE,211,PE O-16:0_22:4,PE,0.06106577460392457,True,0.6217391304347826,139,False,False
283,PG 14:0_22:4,PG,285,PG 16:1_20:3,PG,0.22769404259254591,True,0.6225543478260869,140,True,True
127,PE 16:1_22:2,PE,168,PE 18:3_22:4,PE,0.31091576218768424,True,0.6243206521739131,141,True,False
330,PG 17:0_20:2,PG,331,PG 17:0_20:3,PG,0.3347027537455276,True,0.6293478260869565,142,True,True
209,PE O-16:0_22:2,PE,233,PE O-18:0_22:4,PE,0.2225276368214483,True,0.63125,143,False,False
189,PE 17:0_20:3,PE,232,PE O-18:0_22:3,PE,0.20688790479684577,True,0.6347826086956522,144,True,False
318,PG 14:0_24:4,PG,322,PG 18:1_20:3,PG,0.2282002054480684,True,0.635733695652174,145,True,True
10,PA 18:0_22:5,PA,14,PA 18:0_24:5,PA,0.1147595239879276,True,0.6385869565217392,146,False,False
144,PE 18:1_20:2,PE,187,PE 17:0_20:1,PE,0.13407097591639958,True,0.644429347826087,147,True,False
128,PE 16:1_22:3,PE,204,PE 17:1_22:3,PE,0.2641641204588677,True,0.6452445652173913,148,True,True
320,PG 16:1_22:3,PG,337,PG 20:0_17:1,PG,0.15587146965363763,True,0.6501358695652173,149,False,False
