scope,score,threshold,n_retained,TP,FP,precision,FDR,all_truth_recall,reportable_truth_recall,coverage
POOLED,rho_zero,6.829469738280443e-08,198,198,0,1.0,0.0,0.48292682926829267,0.6149068322981367,0.391304347826087
POOLED,rho_zero,5.98089908609022e-08,199,199,0,1.0,0.0,0.4853658536585366,0.6180124223602484,0.3932806324110672
POOLED,rho_zero,5.973748024424864e-08,200,200,0,1.0,0.0,0.4878048780487805,0.6211180124223602,0.3952569169960474
POOLED,rho_zero,5.925084827826146e-08,201,201,0,1.0,0.0,0.4902439024390244,0.6242236024844721,0.39723320158102765
POOLED,rho_zero,5.718140415799412e-08,202,202,0,1.0,0.0,0.4926829268292683,0.6273291925465838,0.39920948616600793
POOLED,rho_zero,5.661470705867861e-08,203,203,0,1.0,0.0,0.4951219512195122,0.6304347826086957,0.40118577075098816
POOLED,rho_zero,5.4598735769141706e-08,204,204,0,1.0,0.0,0.4975609756097561,0.6335403726708074,0.4031620553359684
POOLED,rho_zero,5.458050318117785e-08,205,205,0,1.0,0.0,0.5,0.6366459627329193,0.4051383399209486
POOLED,rho_zero,4.653639801717003e-08,206,206,0,1.0,0.0,0.5024390243902439,0.639751552795031,0.40711462450592883
POOLED,rho_zero,4.5658946056604864e-08,207,207,0,1.0,0.0,0.5048780487804878,0.6428571428571429,0.4090909090909091
POOLED,rho_zero,4.2608201902185004e-08,208,208,0,1.0,0.0,0.5073170731707317,0.6459627329192547,0.41106719367588934
POOLED,rho_zero,4.213502727167548e-08,209,209,0,1.0,0.0,0.5097560975609756,0.6490683229813664,0.41304347826086957
POOLED,rho_zero,3.535974044838546e-08,210,210,0,1.0,0.0,0.5121951219512195,0.6521739130434783,0.4150197628458498
POOLED,rho_zero,3.335757497271777e-08,211,211,0,1.0,0.0,0.5146341463414634,0.65527950310559,0.41699604743083
POOLED,rho_zero,3.3182287642615026e-08,212,212,0,1.0,0.0,0.5170731707317073,0.6583850931677019,0.4189723320158103
POOLED,rho_zero,3.130226001978161e-08,213,213,0,1.0,0.0,0.5195121951219512,0.6614906832298136,0.4209486166007905
POOLED,rho_zero,3.047816385977515e-08,214,214,0,1.0,0.0,0.5219512195121951,0.6645962732919255,0.42292490118577075
POOLED,rho_zero,3.031998897767343e-08,215,215,0,1.0,0.0,0.524390243902439,0.6677018633540373,0.424901185770751
POOLED,rho_zero,2.8526091188343833e-08,216,216,0,1.0,0.0,0.526829268292683,0.6708074534161491,0.4268774703557312
POOLED,rho_zero,2.6453973804913272e-08,217,217,0,1.0,0.0,0.5292682926829269,0.6708074534161491,0.4288537549407115
POOLED,rho_zero,2.6005092918046307e-08,218,218,0,1.0,0.0,0.5317073170731708,0.6739130434782609,0.4308300395256917
POOLED,rho_zero,2.482605873855393e-08,219,219,0,1.0,0.0,0.5341463414634147,0.6770186335403726,0.43280632411067194
POOLED,rho_zero,2.41898543639847e-08,220,220,0,1.0,0.0,0.5365853658536586,0.6801242236024845,0.43478260869565216
POOLED,rho_zero,2.2292261681050848e-08,221,221,0,1.0,0.0,0.5390243902439025,0.6832298136645962,0.4367588932806324
POOLED,rho_zero,2.164665724439983e-08,222,222,0,1.0,0.0,0.5414634146341464,0.6863354037267081,0.43873517786561267
POOLED,rho_zero,1.8159344097862002e-08,223,223,0,1.0,0.0,0.5439024390243903,0.6894409937888198,0.4407114624505929
POOLED,rho_zero,1.748638770537198e-08,224,224,0,1.0,0.0,0.5463414634146342,0.6894409937888198,0.4426877470355731
POOLED,rho_zero,1.5151704145752318e-08,225,225,0,1.0,0.0,0.5487804878048781,0.6925465838509317,0.44466403162055335
POOLED,rho_zero,1.492646705105343e-08,226,226,0,1.0,0.0,0.551219512195122,0.6956521739130435,0.44664031620553357
POOLED,rho_zero,1.2785729555820016e-08,227,227,0,1.0,0.0,0.5536585365853659,0.6987577639751553,0.44861660079051385
POOLED,rho_zero,1.2381656964744318e-08,228,228,0,1.0,0.0,0.5560975609756098,0.7018633540372671,0.4505928853754941
POOLED,rho_zero,1.186574133715122e-08,229,229,0,1.0,0.0,0.5585365853658537,0.7049689440993789,0.4525691699604743
POOLED,rho_zero,1.1533755686939773e-08,230,230,0,1.0,0.0,0.5609756097560976,0.7080745341614907,0.45454545454545453
POOLED,rho_zero,1.0142433810624455e-08,231,231,0,1.0,0.0,0.5634146341463414,0.7111801242236024,0.45652173913043476
POOLED,rho_zero,9.962846690582673e-09,232,232,0,1.0,0.0,0.5658536585365853,0.7142857142857143,0.45849802371541504
POOLED,rho_zero,9.372922598346882e-09,233,233,0,1.0,0.0,0.5682926829268292,0.717391304347826,0.46047430830039526
POOLED,rho_zero,9.340602014174916e-09,234,234,0,1.0,0.0,0.5707317073170731,0.7204968944099379,0.4624505928853755
POOLED,rho_zero,8.573474674164406e-09,235,235,0,1.0,0.0,0.573170731707317,0.7236024844720497,0.4644268774703557
POOLED,rho_zero,6.510435401257378e-09,236,236,0,1.0,0.0,0.5756097560975609,0.7267080745341615,0.466403162055336
POOLED,rho_zero,6.08407362920403e-09,237,237,0,1.0,0.0,0.5780487804878048,0.7298136645962733,0.4683794466403162
POOLED,rho_zero,6.037873595501129e-09,238,238,0,1.0,0.0,0.5804878048780487,0.7329192546583851,0.47035573122529645
POOLED,rho_zero,4.572274594763608e-09,239,239,0,1.0,0.0,0.5829268292682926,0.7360248447204969,0.4723320158102767
POOLED,rho_zero,4.549177928407332e-09,240,240,0,1.0,0.0,0.5853658536585366,0.7391304347826086,0.4743083003952569
POOLED,rho_zero,4.185817621181077e-09,241,241,0,1.0,0.0,0.5878048780487805,0.7422360248447205,0.4762845849802372
POOLED,rho_zero,4.001082185860724e-09,242,242,0,1.0,0.0,0.5902439024390244,0.7422360248447205,0.4782608695652174
POOLED,rho_zero,3.884493847337653e-09,243,243,0,1.0,0.0,0.5926829268292683,0.7453416149068323,0.48023715415019763
POOLED,rho_zero,3.7392766520582554e-09,244,244,0,1.0,0.0,0.5951219512195122,0.7484472049689441,0.48221343873517786
POOLED,rho_zero,3.413100360768919e-09,245,245,0,1.0,0.0,0.5975609756097561,0.7515527950310559,0.4841897233201581
POOLED,rho_zero,3.1667659834698553e-09,246,246,0,1.0,0.0,0.6,0.7546583850931677,0.48616600790513836
POOLED,rho_zero,2.453620293891792e-09,247,247,0,1.0,0.0,0.6024390243902439,0.7577639751552795,0.4881422924901186
POOLED,rho_zero,2.350881301593099e-09,248,248,0,1.0,0.0,0.6048780487804878,0.7608695652173914,0.4901185770750988
POOLED,rho_zero,1.6631739115899367e-09,249,249,0,1.0,0.0,0.6073170731707317,0.7639751552795031,0.49209486166007904
POOLED,rho_zero,1.3382651868376975e-09,250,250,0,1.0,0.0,0.6097560975609756,0.7639751552795031,0.49407114624505927
POOLED,rho_zero,1.1782252974190986e-09,251,251,0,1.0,0.0,0.6121951219512195,0.7670807453416149,0.49604743083003955
POOLED,rho_zero,1.1584148280891255e-09,252,252,0,1.0,0.0,0.6146341463414634,0.7670807453416149,0.4980237154150198
POOLED,rho_zero,1.1103885235307724e-09,253,253,0,1.0,0.0,0.6170731707317073,0.7701863354037267,0.5
POOLED,rho_zero,1.0935365432068606e-09,254,254,0,1.0,0.0,0.6195121951219512,0.7732919254658385,0.5019762845849802
POOLED,rho_zero,1.0133960632803097e-09,255,255,0,1.0,0.0,0.6219512195121951,0.7763975155279503,0.5039525691699605
POOLED,rho_zero,9.957797532187806e-10,256,256,0,1.0,0.0,0.624390243902439,0.7763975155279503,0.5059288537549407
POOLED,rho_zero,8.985845356045579e-10,257,257,0,1.0,0.0,0.6268292682926829,0.7795031055900621,0.5079051383399209
POOLED,rho_zero,8.275741289658664e-10,258,258,0,1.0,0.0,0.6292682926829268,0.7795031055900621,0.5098814229249012
POOLED,rho_zero,6.763082011968452e-10,259,259,0,1.0,0.0,0.6317073170731707,0.782608695652174,0.5118577075098815
POOLED,rho_zero,6.216024261617457e-10,260,260,0,1.0,0.0,0.6341463414634146,0.7857142857142857,0.5138339920948617
POOLED,rho_zero,5.311076149646614e-10,261,261,0,1.0,0.0,0.6365853658536585,0.7857142857142857,0.5158102766798419
POOLED,rho_zero,4.389097555052085e-10,262,262,0,1.0,0.0,0.6390243902439025,0.7857142857142857,0.5177865612648221
POOLED,rho_zero,2.1433360085094782e-10,263,263,0,1.0,0.0,0.6414634146341464,0.7857142857142857,0.5197628458498024
POOLED,rho_zero,2.0949728164979165e-10,264,264,0,1.0,0.0,0.6439024390243903,0.7857142857142857,0.5217391304347826
POOLED,rho_zero,1.6235111828405056e-10,265,265,0,1.0,0.0,0.6463414634146342,0.7857142857142857,0.5237154150197628
POOLED,rho_zero,1.4811062965638086e-10,266,266,0,1.0,0.0,0.6487804878048781,0.7888198757763976,0.525691699604743
POOLED,rho_zero,1.1300752100220443e-10,267,267,0,1.0,0.0,0.651219512195122,0.7888198757763976,0.5276679841897233
POOLED,rho_zero,1.0236338235742426e-10,268,268,0,1.0,0.0,0.6536585365853659,0.7888198757763976,0.5296442687747036
POOLED,rho_zero,8.923506531669345e-11,269,269,0,1.0,0.0,0.6560975609756098,0.7888198757763976,0.5316205533596838
POOLED,rho_zero,8.835557975520712e-11,270,270,0,1.0,0.0,0.6585365853658537,0.7888198757763976,0.5335968379446641
POOLED,rho_zero,6.87437802380631e-11,271,271,0,1.0,0.0,0.6609756097560976,0.7919254658385093,0.5355731225296443
POOLED,rho_zero,4.54422848166749e-11,272,272,0,1.0,0.0,0.6634146341463415,0.7919254658385093,0.5375494071146245
POOLED,rho_zero,4.3025896531877995e-11,273,273,0,1.0,0.0,0.6658536585365854,0.7919254658385093,0.5395256916996047
POOLED,rho_zero,4.011958208845002e-11,274,274,0,1.0,0.0,0.6682926829268293,0.7919254658385093,0.541501976284585
POOLED,rho_zero,3.7628304912489824e-11,275,275,0,1.0,0.0,0.6707317073170732,0.7919254658385093,0.5434782608695652
POOLED,rho_zero,3.5816438751101727e-11,276,276,0,1.0,0.0,0.6731707317073171,0.7919254658385093,0.5454545454545454
POOLED,rho_zero,2.943486542733766e-11,277,277,0,1.0,0.0,0.675609756097561,0.7919254658385093,0.5474308300395256
POOLED,rho_zero,2.017347948160817e-11,278,278,0,1.0,0.0,0.6780487804878049,0.7919254658385093,0.549407114624506
POOLED,rho_zero,1.7836441427793143e-11,279,279,0,1.0,0.0,0.6804878048780488,0.7919254658385093,0.5513833992094862
POOLED,rho_zero,5.899335026880141e-12,280,280,0,1.0,0.0,0.6829268292682927,0.7919254658385093,0.5533596837944664
