case_id,synthetic_group,ce29_group,metric,ce29_n,ce29_median,ce29_q25,ce29_q75,ce29_IQR,ce29_minimum,ce29_maximum,v58_n,v58_median,v58_q25,v58_q75,v58_IQR,v58_minimum,v58_maximum,cliffs_delta,wasserstein_distance,ks_statistic,independent_sample_claim,comparison_unit
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,delta_residual_absorption,1,-1.4352784486230922e-16,-1.4352784486230922e-16,-1.4352784486230922e-16,0.0,-1.4352784486230922e-16,-1.4352784486230922e-16,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,0.29545454545454547,0.004082759040649761,0.6477272727272727,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,shared_fragment_fraction,1,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,0.6363636363636364,0.6363636363636364,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,-0.8360655737704918,0.34225776395443264,0.9180327868852459,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,top_replacement_fraction,1,0.22407750938593238,0.22407750938593238,0.22407750938593238,0.0,0.22407750938593238,0.22407750938593238,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,-0.9180327868852459,0.14270468959032384,0.9590163934426229,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,removed_vs_positive_replacement_signal_cosine,1,0.2216930948445407,0.2216930948445407,0.2216930948445407,0.0,0.2216930948445407,0.2216930948445407,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,0.4262295081967213,0.26073369288607573,0.7131147540983607,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,nearest_neighbor_cosine_full,14,0.8816233299661798,0.7475140596080824,0.9621091045245089,0.21459504491642656,0.560461411984244,0.9917278075392152,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.2189695550351288,0.05104094480834387,0.22131147540983606,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,redistribution_total,14,0.0,0.0,0.00220898207824861,0.00220898207824861,0.0,0.7491218819156467,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.5210772833723654,0.10476406310957279,0.5679156908665105,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,residual_absorption,4,-1.4903517129770142e-16,-2.3212150160753e-16,-5.709388487164698e-17,1.7502761673588302e-16,-3.1741267719521296e-16,5.476215906471362e-17,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.21022727272727273,3.1807067228271516e-05,0.5681818181818182,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,delta_residual_absorption,4,0.1206186328593537,0.01142032571615352,0.23574959810212864,0.2243292723859751,-5.744378920194717e-14,0.2649678981170639,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,-0.5738636363636364,0.12251578998044277,0.6818181818181818,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,shared_fragment_fraction,14,0.1736111111111111,0.05555555555555555,0.5011475409836066,0.445591985428051,0.03048780487804878,0.6,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,0.1873536299765808,0.07453357657966261,0.3711943793911007,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,top_replacement_fraction,14,0.0,0.0,0.17215824980007066,0.17215824980007066,0.0,0.789981057894863,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,0.23536299765807964,0.14275448020717263,0.43559718969555034,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRICT_STABLE_REPLACEMENT_SOURCE,removed_vs_positive_replacement_signal_cosine,14,0.0,0.0,0.5437296959558142,0.5437296959558142,0.0,0.9911008662827991,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,0.24121779859484777,0.2327282407446042,0.43559718969555034,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,FP,ISTA_REJECTED,nearest_neighbor_cosine_full,38,0.8328793818051885,0.6646968272411448,0.93380710955483,0.2691102823136853,0.34951448932644835,0.9917278075392152,109,0.8489350701121507,0.7051431660870244,0.9300862044228929,0.22494303833586848,0.35029453580209385,0.9917278075392152,0.03090294543698696,0.01672926173774905,0.07556735876388218,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,FP,ISTA_REJECTED,redistribution_total,38,0.0,0.0,0.0034605449319764273,0.0034605449319764273,0.0,0.1123167754766483,109,0.0,0.0,0.04142225893144417,0.04142225893144417,0.0,0.20141214620185469,0.16079188797682278,0.020559911310795504,0.23780782230806374,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,FP,ISTA_REJECTED,residual_absorption,14,1.3909924646820471e-16,-4.2014942596895454e-17,9.498347498662784e-16,9.918496924631738e-16,-1.577211244812648e-16,1.2528823758163445e-15,47,-9.142910451153955e-16,-2.8117053880359854e-15,7.391760636795749e-16,3.5508814517155602e-15,-7.212696227844695e-15,8.546622718750556e-15,-0.3768996960486322,2.1104283354262963e-15,0.6170212765957447,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,FP,ISTA_REJECTED,delta_residual_absorption,14,4.4200432252559106e-15,-2.260492704489451e-15,0.2120732441935933,0.21207324419359555,-1.3005721628900825e-14,0.8482646459708759,47,1.7994154303561638e-14,-1.571245950890871e-13,4.843489976438863e-13,6.414735927329734e-13,-4.169595610506587e-13,0.11903316899331344,-0.3677811550151976,0.1574225005238356,0.46808510638297873,False,one molecular identity within one specimen/case
