source_identity,replacement_identity,replacement_gain,replacement_fraction,delta_residual_absorption,edge_presence_fraction,top_replacement_consistency,stable_edge,presence_persistent_edge
PS 14:0_22:1,PC 20:0_14:1,0.0,0.0,6.502516813766923e-17,0.15625,0.0,False,False
PS 14:0_22:1,PC 14:1_20:1,0.0,0.0,-0.021101804749817665,0.0625,0.0,False,False
PS 14:0_22:1,PC 16:0_18:1,0.0,0.0,1.2002656524785553e-15,0.40625,0.0,False,False
PS 14:0_22:2,PS 14:0_22:0,7.818968910228846e-05,0.028080753287267095,-1.825803259929335e-15,1.0,0.0,False,True
PS 14:0_22:2,PS 14:0_22:1,0.00019192220846468017,0.06892622605512308,-2.6413121102715784e-14,1.0,0.0,False,True
PS 14:0_22:2,PS 16:0_18:1,7.183794187792109e-05,0.025799610481887614,-4.708846903550645e-14,0.972972972972973,0.0,False,False
PS 14:0_22:2,PS 16:0_20:2,0.0,0.0,0.14870475938475522,0.24324324324324326,0.0,False,False
PS 14:0_22:2,PS 20:0_16:1,0.0,0.0,-2.1813740857886975e-14,0.08108108108108109,0.0,False,False
PS 14:0_22:2,PS 16:1_20:1,0.0012848683873859842,0.46144283993244006,-3.0288905376181056e-15,1.0,0.8648648648648649,False,True
PS 14:0_22:2,PS 18:0_18:1,0.00010384420750754464,0.03729422133289675,-1.017879090250782e-13,0.9459459459459459,0.0,False,False
PS 14:0_22:2,PE 16:0_22:4,0.0,0.0,-5.701805483988393e-14,0.5945945945945946,0.0,False,False
PS 14:0_22:2,PE 16:0_22:6,0.0001058660180484651,0.03802032682896684,-3.209328720632132e-13,0.9459459459459459,0.0,False,False
PS 14:0_22:2,PE 18:0_20:4,0.0,0.0,0.004170723808836166,0.08108108108108109,0.0,False,False
PS 14:0_22:2,PE 18:0_22:6,0.0,0.0,-4.0018468969100535e-13,0.13513513513513514,0.0,False,False
PS 14:0_22:2,PE 18:1_20:3,4.539649574281102e-06,0.0016303528146693158,-9.053044949813328e-15,0.40540540540540543,0.0,False,False
PS 14:0_22:2,PE 18:1_20:4,5.3591045872658505e-05,0.01924648831367066,-8.269668244154696e-16,0.6756756756756757,0.0,False,False
PS 14:0_22:2,PE 18:1_20:5,0.0,0.0,0.013296828226215682,0.02702702702702703,0.0,False,False
PS 14:0_22:2,PE 18:1_22:6,0.0,0.0,-3.1271134754843544e-13,0.35135135135135137,0.0,False,False
PS 14:0_22:2,PE 18:2_22:6,2.926651726136223e-05,0.010510667841622143,-2.955998518316937e-13,0.972972972972973,0.0,False,False
PS 14:0_22:2,PE 20:1_18:3,0.0,0.0,-1.6235451088975998e-14,0.02702702702702703,0.0,False,False
PS 14:0_22:2,PE 20:0_20:4,8.229025064022087e-05,0.02955341366241324,1.4336167343142274e-14,0.5675675675675675,0.0,False,False
PS 14:0_22:2,PE 20:1_20:5,0.0,0.0,-3.965455374907915e-14,0.02702702702702703,0.0,False,False
PS 14:0_22:2,PE 20:2_20:4,2.093806169830431e-05,0.007519617376844791,-5.25105252024356e-15,0.7297297297297297,0.0,False,False
PS 14:0_22:2,PE 20:3_20:4,0.0,0.0,-0.001645144748884792,0.21621621621621623,0.0,False,False
PS 14:0_22:2,PE 20:4_20:4,0.0,0.0,0.001593293263619022,0.02702702702702703,0.0,False,False
PS 14:0_22:2,PE O-16:0_22:3,9.146527221575438e-05,0.0328484966871182,3.547768629820056e-15,0.08108108108108109,0.0,False,False
PS 14:0_22:2,PE O-16:1_22:1,5.6214017517559195e-06,0.0020188492566221112,-4.637988635727725e-15,0.40540540540540543,0.0,False,False
PS 14:0_22:2,PE O-16:1_22:2,8.731985645796421e-05,0.031359727534763966,1.3908361463343009e-15,0.6486486486486487,0.0,False,False
PS 14:0_22:2,PE O-16:1_24:0,0.0,0.0,2.1538189035745525e-16,0.24324324324324326,0.0,False,False
PS 14:0_22:2,PE O-16:1_24:1,0.0,0.0,2.489307139006657e-16,0.24324324324324326,0.0,False,False
PS 14:0_22:2,PE O-16:1_24:4,0.0,0.0,-3.701949215047931e-16,0.13513513513513514,0.0,False,False
PS 14:0_22:2,PE O-16:1_24:5,0.0,0.0,-1.4178075323150953e-15,0.05405405405405406,0.0,False,False
PS 14:0_22:2,PE O-16:1_24:6,0.0,0.0,-6.403388445379725e-15,0.1891891891891892,0.0,False,False
PS 14:0_22:2,PE O-18:0_20:4,0.0,0.0,1.4024186636039753e-14,0.7567567567567568,0.0,False,False
PS 14:0_22:2,PE O-18:0_22:5,0.0,0.0,-7.425265372236492e-15,0.13513513513513514,0.0,False,False
PS 14:0_22:2,PE O-18:1_20:4,2.0800079808327987e-05,0.007470063075567711,1.3683560993754165e-14,0.7027027027027027,0.0,False,False
PS 14:0_22:2,PE O-18:1_22:4,0.0,0.0,-0.006365583721203752,0.13513513513513514,0.0,False,False
PS 14:0_22:2,PE O-18:1_22:6,1.4661437716806391e-06,0.0005265454052690729,-3.0190453979388826e-13,0.5405405405405406,0.0,False,False
PS 14:0_22:2,PE O-18:2_22:5,1.0593404134633892e-05,0.0038044756462430173,-1.2798837261985882e-14,0.6216216216216216,0.0,False,False
PS 14:0_22:2,PE O-18:2_22:6,0.0,0.0,-3.051442196914948e-13,0.4594594594594595,0.0,False,False
PS 14:0_22:2,PE O-18:3_22:6,0.0,0.0,-3.2126828245914754e-13,0.32432432432432434,0.0,False,False
