method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PE 18:0_22:6,PE,True,0.29068736642407667,0.03246030453851104,CACHED_FULL_FOREGROUND,0.48016056156614384,0.6666666666666666,0.9999999999495415,True,True,True
NNLS,PE 20:0_18:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:1_20:1,PE,True,0.0042515890239974395,0.0,CACHED_FULL_FOREGROUND,0.0,0.0,0.6042640682548271,False,False,False
NNLS,PE 18:1_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:1_20:3,PE,True,0.012397630986843676,0.0001323858269762327,CACHED_FULL_FOREGROUND,-0.0683018849568404,0.0,0.4187807521190064,False,False,False
NNLS,PE 18:1_20:4,PE,True,0.035428734917314915,0.00036860569993070117,CACHED_FULL_FOREGROUND,-0.0018580521092964703,0.6,0.9787693320592502,True,True,True
NNLS,PE 18:1_20:5,PE,True,0.0012619899208914122,,NOT_COMPUTED_ZERO_COEFFICIENT,-1.650589310969373e-16,0.0,0.007082357534472309,False,False,False
NNLS,PE 18:1_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:1_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:1_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:1_22:5,PE,False,0,,UNREPORTED,-0.0343698693655062,0.0,,False,False,False
NNLS,PE 18:1_22:6,PE,True,0.01658915703350936,7.161433365746296e-05,CACHED_FULL_FOREGROUND,-0.005768746607037205,0.16666666666666666,0.961332243322261,True,True,True
NNLS,PE 20:0_18:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:1_18:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:2_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:2_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:2_20:4,PE,False,0,,UNREPORTED,-0.009605128814974228,0.0,,False,False,False
NNLS,PE 18:2_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 22:1_18:2,PE,False,0,,UNREPORTED,-0.0009530678582952595,0.0,,False,False,False
NNLS,PE 18:2_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:2_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:2_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:2_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
