candidate_index,lipid_name,truth,clean_rho,mild_rho,stratum,domain,method,q_full,q_deleted,delta_q_unclipped,stable_delta_q_longdouble_accumulation,rho,stable_rho_unclipped,signal_energy_plus_epsilon,x_full_candidate,original_stored_rho,full_dual_violation,deleted_dual_violation,full_complementarity,deleted_complementarity,full_gradient_scale,deleted_gradient_scale,full_raw_min_coefficient,deleted_raw_min_coefficient,full_negative_projection_norm,deleted_negative_projection_norm,full_seconds,deleted_seconds,correction_cosine_with_known_mismatch,top_mismatch_channels_signed_gain,positive_gain_fraction_on_top_mismatch_channels,passes_original_cutoff,passes_mild_cutoff
56,PA 20:1_22:5,False,3.0330398519472785e-27,9.009363879083474e-19,false_gains_original_cutoff,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,8.308205077900228e-19,-2.5567030226781006e-21,-2.5567030226781774e-21,0.0,-8.161592134167865e-21,0.3132603272313426,0.0,3.0330398519472785e-27,9.414442026744913e-13,8.088877520873726e-13,1.9999102855475974e-17,1.069105113741522e-17,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-1.0339757656912846e-25,3.6571606267851224e-26,1.0703264762038688e-25,0.7315319627523422,0.65412387996912,-0.045030479360299774,1.2440385670117103e-22,0.1730417373804697,False,False
56,PA 20:1_22:5,False,3.0330398519472785e-27,9.009363879083474e-19,false_gains_original_cutoff,MILD,scipy_nnls_original_order,0.00034997259613769464,0.0003499725961376949,2.710505431213761e-19,-7.503616215590376e-20,9.009363879083474e-19,-2.4941034287089585e-19,0.3008542520417659,0.0,9.009363879083474e-19,9.25438268190547e-17,1.2362615271765964e-16,3.2563079535503204e-18,5.774942051203182e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.3053913153707981,0.2961750701069832,-0.07653184561681613,-7.89060591790761e-21,0.7909048442482973,True,False
56,PA 20:1_22:5,False,3.0330398519472785e-27,9.009363879083474e-19,false_gains_original_cutoff,MILD,scipy_nnls_reverse_order,0.00034997259613769464,0.0003499725961376949,2.710505431213761e-19,-7.503616215590376e-20,9.009363879083474e-19,-2.4941034287089585e-19,0.3008542520417659,0.0,9.009363879083474e-19,9.25438268190547e-17,1.2362615271765964e-16,3.2563079535503204e-18,5.774942051203182e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.30618149042129517,0.3010983392596245,-0.07653184561681613,-7.89060591790761e-21,0.7909048442482973,True,False
56,PA 20:1_22:5,False,3.0330398519472785e-27,9.009363879083474e-19,false_gains_original_cutoff,MILD,scipy_lsq_linear_bvls_tol_1e-12,0.0003499725961376944,0.00034997259613769464,2.710505431213761e-19,2.8263313865235895e-19,9.009363879083474e-19,9.394354134410658e-19,0.3008542520417659,0.0,9.009363879083474e-19,5.470175297528219e-16,5.590959552964625e-16,1.591494976978109e-17,1.670445504701248e-17,0.25717082035781663,0.2571708203578166,-1.3010426069826053e-18,-2.168404344971009e-19,1.7230515684107872e-18,5.244529514811146e-19,1.3843788728117943,1.326768308877945,-0.09135275589421306,2.8840119930695285e-19,0.8917520913481337,True,False
0,PA 16:0_24:0,True,1.7916298684924645e-05,4.85505181597886e-05,true_survives_mild_cutoff,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,5.6124655888147925e-06,5.612465588813968e-06,5.61246558881399e-06,1.7916298684924645e-05,1.7916298684924717e-05,0.3132603272313426,0.029410103545771477,1.7916298684924645e-05,2.337229609858344e-16,1.2828758678463687e-16,6.873816868176826e-18,4.858583511722529e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.32382113113999367,0.019852170974488527,1.397446863920138e-06,0.2489898319742647,True,True
0,PA 16:0_24:0,True,1.7916298684924645e-05,4.85505181597886e-05,true_survives_mild_cutoff,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,5.6124655888147925e-06,5.612465588813968e-06,5.61246558881399e-06,1.7916298684924645e-05,1.7916298684924717e-05,0.3132603272313426,0.029410103545771477,1.7916298684924645e-05,2.337229609858344e-16,1.2828758678463687e-16,6.873816868176826e-18,4.858583511722529e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.32616281881928444,0.019852170974488527,1.397446863920138e-06,0.2489898319742647,True,True
0,PA 16:0_24:0,True,1.7916298684924645e-05,4.85505181597886e-05,true_survives_mild_cutoff,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,5.612465588814807e-06,5.612465588813973e-06,5.612465588813974e-06,1.7916298684924662e-05,1.7916298684924666e-05,0.3132603272313426,0.029410104004164307,1.7916298684924645e-05,9.414442026744913e-13,3.555301946789514e-16,1.9999102855475974e-17,1.979179036604337e-17,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-8.673617379884035e-19,3.6571606267851224e-26,9.155545587158026e-19,0.7315319627523422,1.494686283171177,0.019852170334268306,1.3974468639202261e-06,0.2489898319742811,True,True
0,PA 16:0_24:0,True,1.7916298684924645e-05,4.85505181597886e-05,true_survives_mild_cutoff,MILD,scipy_nnls_original_order,0.00034997259613769464,0.000364579225964898,1.4606629827203373e-05,1.4606629827203961e-05,4.85505181597886e-05,4.8550518159790554e-05,0.3008542520417659,0.024497720445645108,4.85505181597886e-05,9.25438268190547e-17,9.54504487601926e-17,3.2563079535503204e-18,5.000952083258688e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.3053913153707981,0.27592142298817635,-0.054160776518023396,8.270225688826201e-06,0.6243955372056688,True,True
0,PA 16:0_24:0,True,1.7916298684924645e-05,4.85505181597886e-05,true_survives_mild_cutoff,MILD,scipy_nnls_reverse_order,0.00034997259613769464,0.000364579225964898,1.4606629827203373e-05,1.4606629827203961e-05,4.85505181597886e-05,4.8550518159790554e-05,0.3008542520417659,0.024497720445645108,4.85505181597886e-05,9.25438268190547e-17,9.54504487601926e-17,3.2563079535503204e-18,5.000952083258688e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.30618149042129517,0.2794173024594784,-0.054160776518023396,8.270225688826201e-06,0.6243955372056688,True,True
0,PA 16:0_24:0,True,1.7916298684924645e-05,4.85505181597886e-05,true_survives_mild_cutoff,MILD,scipy_lsq_linear_bvls_tol_1e-12,0.0003499725961376944,0.0003645792259648979,1.4606629827203536e-05,1.4606629827203616e-05,4.8550518159789145e-05,4.855051815978941e-05,0.3008542520417659,0.0244977204456444,4.85505181597886e-05,5.470175297528219e-16,2.3758935357304223e-16,1.591494976978109e-17,7.760134322865418e-18,0.25717082035781663,0.2571708203578166,-1.3010426069826053e-18,-4.336808689942018e-19,1.7230515684107872e-18,6.802644945937804e-19,1.3843788728117943,1.0546190403401852,-0.054160776518176426,8.270225688826243e-06,0.6243955372056549,True,True
6,PA 18:0_22:1,True,6.849826663802598e-07,2.7148736016660327e-05,true_survives_mild_cutoff,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,2.145778942189021e-07,2.1457789421807778e-07,2.1457789421808408e-07,6.849826663802598e-07,6.849826663802799e-07,0.3132603272313426,0.0073525332929714575,6.849826663802598e-07,2.337229609858344e-16,1.4380628916951972e-16,6.873816868176826e-18,3.929867118840092e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.3678738623857498,-0.004799869367221151,2.1648419298701663e-08,0.10088839476027064,True,False
6,PA 18:0_22:1,True,6.849826663802598e-07,2.7148736016660327e-05,true_survives_mild_cutoff,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,2.145778942189021e-07,2.1457789421807778e-07,2.1457789421808408e-07,6.849826663802598e-07,6.849826663802799e-07,0.3132603272313426,0.0073525332929714575,6.849826663802598e-07,2.337229609858344e-16,1.4380628916951972e-16,6.873816868176826e-18,3.929867118840092e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.3674609921872616,-0.004799869367221151,2.1648419298701663e-08,0.10088839476027064,True,False
6,PA 18:0_22:1,True,6.849826663802598e-07,2.7148736016660327e-05,true_survives_mild_cutoff,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,2.1457789421890978e-07,2.145778942180764e-07,2.145778942180764e-07,6.849826663802554e-07,6.849826663802554e-07,0.3132603272313426,0.007352532869625216,6.849826663802598e-07,9.414442026744913e-13,3.440789974463429e-16,1.9999102855475974e-17,1.5756784801757657e-17,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-4.336808689942018e-19,3.6571606267851224e-26,4.644924164923086e-19,0.7315319627523422,1.0872295200824738,-0.004799872436937409,2.1648419298688064e-08,0.10088839476021089,True,False
6,PA 18:0_22:1,True,6.849826663802598e-07,2.7148736016660327e-05,true_survives_mild_cutoff,MILD,scipy_nnls_original_order,0.00034997259613769464,0.00035814040880586634,8.167812668171694e-06,8.167812668171794e-06,2.7148736016660327e-05,2.714873601666066e-05,0.3008542520417659,0.02987761740854563,2.7148736016660327e-05,9.25438268190547e-17,1.373684152539134e-16,3.2563079535503204e-18,5.223769156693394e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.3053913153707981,0.2793136052787304,-0.08973053619130551,4.9191645593307606e-06,0.619887556616741,True,True
6,PA 18:0_22:1,True,6.849826663802598e-07,2.7148736016660327e-05,true_survives_mild_cutoff,MILD,scipy_nnls_reverse_order,0.00034997259613769464,0.00035814040880586634,8.167812668171694e-06,8.167812668171794e-06,2.7148736016660327e-05,2.714873601666066e-05,0.3008542520417659,0.02987761740854563,2.7148736016660327e-05,9.25438268190547e-17,1.373684152539134e-16,3.2563079535503204e-18,5.223769156693394e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.30618149042129517,0.2771475613117218,-0.08973053619130551,4.9191645593307606e-06,0.619887556616741,True,True
6,PA 18:0_22:1,True,6.849826663802598e-07,2.7148736016660327e-05,true_survives_mild_cutoff,MILD,scipy_lsq_linear_bvls_tol_1e-12,0.0003499725961376944,0.00035814040880586623,8.167812668171857e-06,8.167812668171718e-06,2.714873601666087e-05,2.7148736016660408e-05,0.3008542520417659,0.029877617408544638,2.7148736016660327e-05,5.470175297528219e-16,1.813870234568249e-16,1.591494976978109e-17,7.544723639491394e-18,0.25717082035781663,0.2571708203578166,-1.3010426069826053e-18,-8.673617379884035e-19,1.7230515684107872e-18,9.865996920945328e-19,1.3843788728117943,1.0782924965023994,-0.08973053619150832,4.919164559330631e-06,0.6198875566167262,True,True
59,PA 20:2_20:3,False,6.368610567775e-20,1.7543740552697457e-05,false_passes_mild_cutoff,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,8.442590095064094e-19,1.9950330304701833e-20,1.9950345971587284e-20,6.368610567775e-20,6.368615569010104e-20,0.3132603272313426,3.367047951577096e-09,6.368610567775e-20,2.337229609858344e-16,1.3940478936498727e-16,6.873816868176826e-18,2.980313126225622e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.47632643952965736,-0.057445227336512694,8.628458395064028e-21,0.34012936483780853,True,False
59,PA 20:2_20:3,False,6.368610567775e-20,1.7543740552697457e-05,false_passes_mild_cutoff,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,8.442590095064094e-19,1.9950330304701833e-20,1.9950345971587284e-20,6.368610567775e-20,6.368615569010104e-20,0.3132603272313426,3.367047951577096e-09,6.368610567775e-20,2.337229609858344e-16,1.3940478936498727e-16,6.873816868176826e-18,2.980313126225622e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.4744798243045807,-0.057445227336512694,8.628458395064028e-21,0.34012936483780853,True,False
59,PA 20:2_20:3,False,6.368610567775e-20,1.7543740552697457e-05,false_passes_mild_cutoff,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,8.556796635090067e-19,2.2302452696305858e-20,2.2302452696305656e-20,7.119462874031765e-20,7.119462874031701e-20,0.3132603272313426,3.4032258469651744e-09,6.368610567775e-20,9.414442026744913e-13,9.80119566831861e-13,1.9999102855475974e-17,1.9983055359515202e-17,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-1.2924697071141057e-26,3.6571606267851224e-26,2.1188467221262837e-26,0.7315319627523422,0.5241939872503281,-0.06453986808810255,1.0865090737291068e-20,0.3507951863782341,True,False
