mapping_slot,template_original_candidate_index,template_original_candidate_id_provenance_only,template_original_lipid_name_discarded,template_foreground_mean,truth_selection_position,synthetic_truth_candidate_index,synthetic_truth_candidate_id,synthetic_truth_lipid_name,synthetic_truth_lipid_class,difficulty_stratum,geometry_design_score_only,cone_isolation,max_parent_cosine,max_fragment_cosine,max_full_cosine
53,284,PG-H__0057,PG 16:0_20:4,0.006965233251819613,0,15,PA-H__0130,PA 18:0_24:6,PA,Q4_highest_competition,0.7615089514066496,0.1641748706562144,1.0,0.9374908882297373,0.9345818680853585
54,285,PG-H__0058,PG 16:1_20:3,0.0024990073350468845,17,112,PS-H__0154,PS 18:2_18:2,PS,Q1_lowest_competition,0.3139386189258312,0.48970262007816334,0.9999999999999998,0.7776225381848841,0.7708922887506152
55,293,PG-H__0068,PG 14:0_22:2,0.0013766143633431771,34,107,PS-H__0109,PS 18:0_18:2,PS,Q1_lowest_competition,0.2851662404092072,0.541157843513578,1.0,0.6351598729298585,0.6058878288272445
56,295,PG-H__0070,PG 16:1_20:1,0.01088759997649656,51,94,PS-H__0064,PS 16:0_20:2,PS,Q1_lowest_competition,0.2592710997442455,0.4254264414636681,0.9999999999999999,0.6085440292908172,0.6058878288272445
57,298,PG-H__0074,PG 14:0_22:1,0.027349346025652994,68,10,PA-H__0122,PA 18:0_22:5,PA,Q4_highest_competition,0.6867007672634271,0.13936661280823676,0.9999999999999998,0.9374908882297373,0.9345818680853585
58,299,PG-H__0075,PG 16:0_20:1,0.002688533754090185,9,360,PCO+CH3COO__0057,PC O-16:0_16:1,PC,Q2_moderate_low_competition,0.4632352941176471,0.19936849220098288,0.9999999999999994,0.8386212253764069,0.8386193091272589
59,302,PG-H__0079,PG 14:0_22:0,0.0077394994338569065,26,361,PCO+CH3COO__0082,PC O-16:1_16:1,PC,Q2_moderate_low_competition,0.4207161125319693,0.1949832272390983,0.10488131532183015,0.8591092264429544,0.8590359045674744
60,308,PG-H__0087,PG 16:0_22:6,0.004921008444491788,43,373,PC+Cl__0179,PC 14:0_20:3,PC,Q2_moderate_low_competition,0.36636828644501285,0.39431987909766586,0.9999999999999999,0.7479417800620244,0.7441651284998448
61,313,PG-H__0094,PG 16:1_22:4,0.004930928360130924,60,117,PE-H__0070,PE 16:0_22:2,PE,Q2_moderate_low_competition,0.48881074168797956,0.1886425381510025,0.9999999999999994,0.8572487991575071,0.8549196417105
62,319,PG-H__0100,PG 16:0_22:4,0.01505433904952393,1,345,PC+HCOO__0056,PC 16:0_16:0,PC,Q4_highest_competition,0.9558823529411764,0.00439247404365462,1.0,0.9997981100893683,0.9997979854471082
