severity,lipid_name,contexts,raw_TP_contexts,solver_miss_contexts,filter_loss_contexts,loss_fraction_of_raw_TP,comparison_group,cone_isolation,max_fragment_cosine,collective_gain,full_spectral_change,fragment_spectral_change,achieved_dropout_rate
MILD,PE O-18:0_20:1,10,10,0,10,1.0,any_filter_loss,0.318148671588633,0.9846847840318518,0.10986362796133797,0.0001630039114796089,0.00017009481650798186,0.037037037037037035
MILD,PE O-18:0_20:5,10,10,0,10,1.0,any_filter_loss,0.6919909071159304,0.9215313010613547,0.1361896321849082,0.0038942866708165935,0.004027293005726573,0.02857142857142857
MILD,PE O-18:0_22:4,10,10,0,10,1.0,any_filter_loss,0.29140314574818993,0.9785214888337301,0.07223834193787476,0.00991779822923411,0.010948030972303235,0.06451612903225806
MILD,PE O-18:0_22:6,10,10,0,0,0.0,never_filter_loss,0.5753436233533816,0.900438885889574,0.17868511941106635,0.000292360631166555,0.0004274430617627889,0.02857142857142857
MILD,PE O-18:1_20:5,10,10,0,10,1.0,any_filter_loss,0.5577857427715306,0.9215313010613547,0.19234784377749203,0.004494611377175217,0.0021003523208922292,0.023809523809523808
MILD,PE O-18:2_20:3,10,10,0,10,1.0,any_filter_loss,0.15389249231375365,0.982213995160686,0.04157871249447814,0.011902632343288366,0.01190551140071483,0.06060606060606061
MILD,PE O-18:2_22:3,10,10,0,10,1.0,any_filter_loss,0.11689533016188987,0.986523537683374,0.04682821117393669,0.00025152470337641564,0.00025152508544168395,0.06451612903225806
MILD,PE O-18:2_22:4,10,9,1,9,1.0,any_filter_loss,0.14828595476682938,0.9790243416279218,0.05669129626843439,0.0006958109492893882,0.000691927852268126,0.02631578947368421
MILD,PE O-18:2_22:5,10,10,0,10,1.0,any_filter_loss,0.26103860623460656,0.9522818262826038,0.09101743804944895,0.0005889830349302683,0.0005985797905463386,0.02564102564102564
MILD,PE O-18:3_22:3,10,10,0,10,1.0,any_filter_loss,0.12439321564387905,0.986523537683374,0.03933032569194751,0.00039330638137358154,0.000393316500170271,0.0967741935483871
