dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_20:1,PA,1.4043895595934146e-05,,NOT_COMPUTED,False,False,False,[74]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_20:2,PA,7.90475152064448e-06,,NOT_COMPUTED,False,False,False,[83]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_20:3,PA,0.008364341583502405,5.468020030200733e-23,COMPUTED,True,False,False,[90]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_20:4,PA,0.019750284667895565,5.677524186564947e-06,COMPUTED,True,True,True,[98]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_20:5,PA,0.011928699521695231,7.903902313363896e-27,COMPUTED,True,False,False,[107]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:1_18:2,PA,0.0,,NOT_COMPUTED,False,False,False,[37]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:1_18:3,PA,0.00037637503892268124,,NOT_COMPUTED,False,False,False,[48]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:1_20:2,PA,0.00021742571256911153,,NOT_COMPUTED,False,False,False,[84]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:1_20:3,PA,0.0002567984750943692,,NOT_COMPUTED,False,False,False,[91]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:1_20:4,PA,3.358490242275912e-05,,NOT_COMPUTED,False,False,False,[99]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:1_20:5,PA,8.52303388784277e-06,,NOT_COMPUTED,False,False,False,[108]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:2_18:3,PA,1.4978004367770351e-05,,NOT_COMPUTED,False,False,False,[49]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:2_20:3,PA,0.004866000884713702,1.9607492367996873e-24,COMPUTED,True,False,False,[92]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:2_20:4,PA,0.005860579526160617,2.9727469195206733e-06,COMPUTED,True,True,True,[100]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:2_20:5,PA,1.380620863289052e-05,,NOT_COMPUTED,False,False,False,[109]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:3_20:4,PA,4.645305595984867e-05,,NOT_COMPUTED,False,False,False,[101]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:3_20:5,PA,4.5055806098359044e-05,,NOT_COMPUTED,False,False,False,[110]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:3_22:6,PA,0.007532452861346614,6.919673890904522e-22,COMPUTED,True,False,False,[117]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:4_20:5,PA,0.0019793621627075676,3.1424001179657975e-23,COMPUTED,True,False,False,[111]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:4_22:5,PA,0.02315414062357946,9.809377223971386e-05,COMPUTED,True,True,True,[118]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:4_22:6,PA,7.861491636070945e-06,,NOT_COMPUTED,False,False,False,[119]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:5_22:5,PA,0.00397692989577536,2.1125166127514686e-23,COMPUTED,True,False,False,[120]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:5_22:6,PA,0.0016071537211672083,0.0,COMPUTED,True,False,False,[121]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:6_22:6,PA,0.002146400533657727,4.025879507539987e-29,COMPUTED,True,False,False,[122]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:0_16:1,PA,0.0,,NOT_COMPUTED,False,False,False,[6]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:0_18:1,PA,0.0,,NOT_COMPUTED,False,False,False,[29]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:0_18:2,PA,0.0,,NOT_COMPUTED,False,False,False,[40]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:0_18:3,PA,7.137436558544527e-06,,NOT_COMPUTED,False,False,False,[50]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:1_18:2,PA,0.0042352272799798096,2.8743941235684066e-07,COMPUTED,True,True,True,[41]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:1_18:3,PA,0.005846117666930169,2.3885867945495044e-22,COMPUTED,True,False,False,[51]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:2_18:3,PA,0.03133571053761827,1.688323964052398e-05,COMPUTED,True,True,True,[52]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 24:4_20:5,PA,0.034300007119268165,0.0001779196816980852,COMPUTED,True,True,True,[114]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_17:0,PC,0.001042922082273751,3.589887689852685e-27,COMPUTED,True,False,False,[840]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_17:1,PC,9.44018416234587e-06,,NOT_COMPUTED,False,False,False,[842]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_18:0,PC,0.0,,NOT_COMPUTED,False,False,False,"[702, 811]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_18:1,PC,2.016414788602534e-06,,NOT_COMPUTED,False,False,False,"[703, 812]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_18:2,PC,1.4024841024870654e-10,,NOT_COMPUTED,False,False,False,[813]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_18:3,PC,4.408900006106669e-06,,NOT_COMPUTED,False,False,False,[814]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_20:0,PC,0.0,,NOT_COMPUTED,False,False,False,"[704, 815]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_20:1,PC,0.0,,NOT_COMPUTED,False,False,False,"[705, 816]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_20:2,PC,0.0,,NOT_COMPUTED,False,False,False,"[706, 817]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_20:3,PC,0.0,,NOT_COMPUTED,False,False,False,"[707, 818]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_20:4,PC,0.0,,NOT_COMPUTED,False,False,False,"[708, 819]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_20:5,PC,1.6271249003795204e-05,,NOT_COMPUTED,False,False,False,"[709, 820]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_22:5,PC,4.1898351188569067e-10,,NOT_COMPUTED,False,False,False,[710]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 12:0_22:6,PC,0.0,,NOT_COMPUTED,False,False,False,[711]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_16:0,PC,0.005869185034849115,7.253337793034673e-07,COMPUTED,True,True,True,[830]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_16:1,PC,2.1627639907347624e-06,,NOT_COMPUTED,False,False,False,[831]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_17:0,PC,1.2304533168548199e-05,,NOT_COMPUTED,False,False,False,"[744, 844]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_17:1,PC,0.0002006920079486527,,NOT_COMPUTED,False,False,False,"[745, 845]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_18:0,PC,0.00025612916939049746,,NOT_COMPUTED,False,False,False,"[722, 832]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_18:1,PC,0.00023859285500224222,,NOT_COMPUTED,False,False,False,"[723, 833]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_18:2,PC,0.0004108075798586662,,NOT_COMPUTED,False,False,False,"[724, 834]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_18:3,PC,8.70451766487988e-06,,NOT_COMPUTED,False,False,False,"[725, 835]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_20:0,PC,1.0140009776522041e-06,,NOT_COMPUTED,False,False,False,[726]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_20:1,PC,1.1855145535795045e-05,,NOT_COMPUTED,False,False,False,[727]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_20:2,PC,0.00021012277216965225,,NOT_COMPUTED,False,False,False,[728]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_20:3,PC,0.0,,NOT_COMPUTED,False,False,False,[729]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_20:4,PC,2.8369430570465697e-05,,NOT_COMPUTED,False,False,False,[730]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 13:0_20:5,PC,3.3648429711373154e-05,,NOT_COMPUTED,False,False,False,"[731, 836]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_15:0,PC,0.00231324554610778,4.951328700485865e-23,COMPUTED,True,False,False,[837]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_16:0,PC,0.00023908598338847863,,NOT_COMPUTED,False,False,False,"[712, 821]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_16:1,PC,1.1807842760059239e-05,,NOT_COMPUTED,False,False,False,"[713, 822]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_17:0,PC,0.0011303062007731479,2.61975568700657e-24,COMPUTED,True,False,False,"[738, 841]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_17:1,PC,0.00021137581419368483,,NOT_COMPUTED,False,False,False,"[741, 843]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_18:0,PC,7.371460817205291e-05,,NOT_COMPUTED,False,False,False,"[714, 823]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_18:1,PC,6.705066088455783e-05,,NOT_COMPUTED,False,False,False,"[715, 824]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_18:2,PC,2.756316749026169e-05,,NOT_COMPUTED,False,False,False,"[716, 825]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_18:3,PC,0.0003062484051211513,,NOT_COMPUTED,False,False,False,"[717, 826]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 14:0_20:5,PC,1.751190433315182e-05,,NOT_COMPUTED,False,False,False,[718]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_15:0,PC,0.00010319114279031784,,NOT_COMPUTED,False,False,False,"[746, 846]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_16:0,PC,0.00020799311283076544,,NOT_COMPUTED,False,False,False,"[732, 838]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_16:1,PC,1.0365915768601335e-06,,NOT_COMPUTED,False,False,False,"[733, 839]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_17:0,PC,0.0005067837490245598,,NOT_COMPUTED,False,False,False,"[747, 847]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_17:1,PC,7.164539282604908e-05,,NOT_COMPUTED,False,False,False,"[748, 848]"
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_18:0,PC,0.0010080073907834902,8.055938355220257e-28,COMPUTED,True,False,False,[734]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PC 15:0_18:1,PC,0.031017688248651445,1.7133752523236172e-05,COMPUTED,True,True,True,[735]
