dataset_id,severity,split,K,replicate,forward_mismatch_residual,learned_solver_reconstruction_relative_residual,source_NNLS_residual,source_NNLS_false_identity_count,X_true_sha256,B_target_sha256,p50,p90_over_p50,p95_over_p50,p99_over_p50,max_over_p50,mismatch_B_p50_over_V57_clean_B_p50
MILD__CAL_R1_K050,MILD,CAL,50,R1,0.07109774347972335,0.05101556376976345,0.0425471833926408,41,c915ca53f3cdb41668f226a5b7782ad0309ca6d80d328245d08e823268da1388,e9c9e2f7a9993cde140185b7c87c5fd59433ee1db5be654b6dba17bd8a2295b2,0.598490975611387,1.6945733528969114,2.083993557103269,2.8369250002436286,4.252907140951104,0.991407140261227
MILD__CAL_R1_K125,MILD,CAL,125,R1,0.07249859914445561,0.04528471417983771,0.03410661635752035,59,b5a118675da94a90a53703339de9a86ac1fe3ebad34f425a7aa96846abef0a3f,62c735beda9bf9b03a3602630ea2fc1fe8a6ac0ff56990104d05c11614fba37d,0.5931181565354153,1.5242304308622308,1.7298505504359913,2.2141007432986646,3.0577822268798402,0.9825069568256027
MILD__CAL_R1_K175,MILD,CAL,175,R1,0.0624075847614891,0.03740446997007901,0.028691098881479526,54,ef33bc8e691c450ca2b3ce6c98b229cc9e728a759e49890967e9c2baff9c3766,2584883af5d815190eb3883b875aed76a6bb9deede10214cb60225c81c46383d,0.5939227218907148,1.4812242929969783,1.640669347133172,2.0362968967397332,2.702314022733187,0.9838397085171436
MILD__CAL_R2_K050,MILD,CAL,50,R2,0.07323984673726229,0.04809829098296018,0.042547309975938294,41,e5e9d7c82aa5100604873f1d7a10db162ebc3181d165a8d64e0a25c98b79df96,8a1fc69ed6372d3492f197dbc838ad20b508b12de4c97818e04571b2f22020f5,0.6002481848541661,1.7061203234265836,1.94463595812205,2.581147206068466,4.066269615169431,0.9943179183506201
MILD__CAL_R2_K125,MILD,CAL,125,R2,0.08315517057098766,0.05404487413571549,0.03410653666399923,60,cfdef5fa6172d18450e9ee998d7442645ae7e9e74cd0aa260781c188d7ca8222,b4676a3cc4dba486633c8e50d920d86fc431f3bdd0d368d2393045492832861a,0.5928071157884871,1.7114665036663415,1.9608319141425106,2.703094339055666,4.030631580912905,0.981991669592066
MILD__CAL_R2_K175,MILD,CAL,175,R2,0.06964180818593525,0.042280183032410004,0.028691082893519133,54,6cb65f792520b0060c8a02ef303382574a8c1d04de199a97e55b396aece3e185,7951de02c92ca68c724c19c1d6837ada3ae5a411f4d97bef19a5b9b2fcb7bcf8,0.5936345918985693,1.535954879279565,1.731965324280575,2.334817502837562,3.5121947591877807,0.9833623143718917
MILD__CAL_R3_K050,MILD,CAL,50,R3,0.08671105924593796,0.06428852481992786,0.04254731958069434,41,83889606df97c5ed27e51eb0380be583ed57733c554d4fd331b4b0335a29488f,7704b2114adbba6ce3fb6b62f4a1589be795239616f8e65014d8044a820d6d56,0.6018091165628604,1.8595565858736798,2.169207610984185,3.087412072150435,4.774654383304896,0.9969036009080665
MILD__CAL_R3_K125,MILD,CAL,125,R3,0.09129129545698413,0.05140435463749911,0.03410639735702906,60,8044a118ef2c34f4b78e5cfdd092cff447af8e9e08dcf9b1ba0750c3fd6fa74c,bc55319169649253aae82bcfd68f80d6663d2a4959998eba793c47feec82cfc5,0.5936255545287638,1.5139923100730928,1.6777911556533247,2.221169596690486,3.173921162608748,0.983347499343531
MILD__CAL_R3_K175,MILD,CAL,175,R3,0.07569133247782144,0.041407144372442584,0.028691287892198446,54,76b269a8d022fa8925b9dff8fd4ac48a7ffddef906a926093b3a28d7241e15b2,19a8f19dda589402ddbcb893c6058064da02d943fa9e7433f064abb6b015c593,0.594307621187241,1.452416286258655,1.5955989794509688,1.9929717968523117,2.7730566079666192,0.9844773255279434
MILD__CAL_R4_K050,MILD,CAL,50,R4,0.07765608067633795,0.05578578445933605,0.04254724008904258,40,c87d565eafade2e9924f45f86a93fd8a6ebd02320baf6071043d9bad66b28e7e,f9cf773898af97f92e076b064e2761ca6f8d768201f41e17d4d85a9cca3489db,0.6017659367334794,1.4834291836950149,1.6923224021353978,2.2044351276480367,3.264727034509613,0.9968320732666184
MILD__CAL_R4_K125,MILD,CAL,125,R4,0.076590927233447,0.04768350186754837,0.03410658561880333,60,86b6f2c372b16e7400101266db8e53f70210faf1bd34e4b9f4b79710a15512fb,85f6347ebf3a2f6069d5e6b5662a171ad200b9f009264733339906b1231a4470,0.5943977596299886,1.4912912727116556,1.6728419720733634,2.228634988651534,3.214222216056777,0.9846265480900119
MILD__CAL_R4_K175,MILD,CAL,175,R4,0.06910468845268417,0.04368194190063108,0.02869112454225563,54,2061e8ffe1ad8a37e13c57e50815df390d6004da3cce44c96c1ca57ad14d811b,49fdd146401f65f96c52446d5270febaa5aefc4c65ed8c761ff6f755f3cf66bf,0.5957040980914119,1.4287236621632429,1.5779350981664668,2.08509335076993,2.976376719057018,0.9867906460448995
MILD__CAL_R5_K050,MILD,CAL,50,R5,0.09711101759408675,0.06711498772488257,0.04254740833654506,40,18275354a276c3ea0d98b4399bc22598fdf9954450263527c473b5465ddf9408,829320f2bf0c7d1a4bf4adcf1f0e2feeb0dee7e88961417fa769fe3fe7dd6a9c,0.6004568981099098,1.5489881098566838,1.7860420673776964,2.359301080285396,3.8428639762711683,0.9946635050171021
