severity,protocol,score,target,threshold,threshold_available,calibration_status,primary_rho_result,replicate,N_retained,TP,FP,FN,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,precision,FDR,FDR_lower95,FDR_upper95,coverage,all_truth_recall,reportable_truth_recall
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,R1,111,105,6,245,334,312,16,105,6,245,0.3143712574850299,0.3143712574850299,229,0.6856287425149701,0.9459459459459459,0.05405405405405406,0.025006314260033254,0.11293567100704646,0.17182662538699692,0.3,0.3
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,R2,117,110,7,240,341,310,9,110,7,240,0.3225806451612903,0.3225806451612903,231,0.6774193548387096,0.9401709401709402,0.05982905982905983,0.02928047475138218,0.11836304920811816,0.17972350230414746,0.3142857142857143,0.3142857142857143
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,R3,122,117,5,233,331,307,19,117,5,233,0.35347432024169184,0.35347432024169184,214,0.6465256797583081,0.9590163934426229,0.040983606557377046,0.01763071945527446,0.09236052627890128,0.19122257053291536,0.3342857142857143,0.3342857142857143
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,R4,105,100,5,250,337,290,13,100,5,250,0.29673590504451036,0.29673590504451036,237,0.7032640949554896,0.9523809523809523,0.047619047619047616,0.020509165674361972,0.10666166583292791,0.1674641148325359,0.2857142857142857,0.2857142857142857
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.017037398650412646,True,AVAILABLE,False,R5,94,88,6,262,337,295,13,88,6,262,0.26112759643916916,0.26112759643916916,249,0.7388724035608308,0.9361702127659575,0.06382978723404255,0.029579735297574024,0.13232973550994373,0.14873417721518986,0.25142857142857145,0.25142857142857145
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,R1,12,12,0,338,334,312,16,12,0,338,0.03592814371257485,0.03592814371257485,322,0.9640718562874252,1.0,0.0,2.7755575615628914e-17,0.24249400665524085,0.018575851393188854,0.03428571428571429,0.03428571428571429
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,R2,12,12,0,338,341,310,9,12,0,338,0.03519061583577713,0.03519061583577713,329,0.9648093841642229,1.0,0.0,2.7755575615628914e-17,0.24249400665524085,0.018433179723502304,0.03428571428571429,0.03428571428571429
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,R3,13,13,0,337,331,307,19,13,0,337,0.03927492447129909,0.03927492447129909,318,0.9607250755287009,1.0,0.0,0.0,0.22809537235419838,0.02037617554858934,0.037142857142857144,0.037142857142857144
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,R4,11,11,0,339,337,290,13,11,0,339,0.032640949554896145,0.032640949554896145,326,0.9673590504451038,1.0,0.0,0.0,0.2588329669680317,0.017543859649122806,0.03142857142857143,0.03142857142857143
MILD,LOCAL_CAL_RECALIBRATION,X_hat,FDR1,0.041894897668548994,True,AVAILABLE,False,R5,13,13,0,337,337,295,13,13,0,337,0.03857566765578635,0.03857566765578635,324,0.9614243323442137,1.0,0.0,0.0,0.22809537235419838,0.020569620253164556,0.037142857142857144,0.037142857142857144
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R1,434,268,166,82,334,297,16,268,166,82,0.8023952095808383,0.8023952095808383,66,0.19760479041916168,0.6175115207373272,0.3824884792626728,0.3379858051912374,0.42905315846758946,0.687797147385103,0.7657142857142857,0.7657142857142857
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R2,418,260,158,90,339,291,11,260,158,90,0.7669616519174042,0.7669616519174042,79,0.23303834808259588,0.6220095693779905,0.37799043062200954,0.33281678741995513,0.4253862107273757,0.6634920634920635,0.7428571428571429,0.7428571428571429
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R3,389,243,146,107,328,294,22,243,146,107,0.7408536585365854,0.7408536585365854,85,0.25914634146341464,0.6246786632390745,0.37532133676092544,0.3286433244997963,0.4244377268454641,0.6254019292604501,0.6942857142857143,0.6942857142857143
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R4,433,262,171,88,335,305,15,262,171,88,0.7820895522388059,0.7820895522388059,73,0.21791044776119403,0.605080831408776,0.394919168591224,0.3499936574388416,0.4416927812850253,0.6765625,0.7485714285714286,0.7485714285714286
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,R5,423,263,160,87,338,286,12,263,160,87,0.7781065088757396,0.7781065088757396,75,0.22189349112426035,0.6217494089834515,0.37825059101654845,0.3333274880608706,0.42536511812463146,0.6778846153846154,0.7514285714285714,0.7514285714285714
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R1,434,268,166,82,334,297,16,268,166,82,0.8023952095808383,0.8023952095808383,66,0.19760479041916168,0.6175115207373272,0.3824884792626728,0.3379858051912374,0.42905315846758946,0.687797147385103,0.7657142857142857,0.7657142857142857
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R2,418,260,158,90,339,291,11,260,158,90,0.7669616519174042,0.7669616519174042,79,0.23303834808259588,0.6220095693779905,0.37799043062200954,0.33281678741995513,0.4253862107273757,0.6634920634920635,0.7428571428571429,0.7428571428571429
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R3,389,243,146,107,328,294,22,243,146,107,0.7408536585365854,0.7408536585365854,85,0.25914634146341464,0.6246786632390745,0.37532133676092544,0.3286433244997963,0.4244377268454641,0.6254019292604501,0.6942857142857143,0.6942857142857143
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R4,433,262,171,88,335,305,15,262,171,88,0.7820895522388059,0.7820895522388059,73,0.21791044776119403,0.605080831408776,0.394919168591224,0.3499936574388416,0.4416927812850253,0.6765625,0.7485714285714286,0.7485714285714286
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,R5,423,263,160,87,338,286,12,263,160,87,0.7781065088757396,0.7781065088757396,75,0.22189349112426035,0.6217494089834515,0.37825059101654845,0.3333274880608706,0.42536511812463146,0.6778846153846154,0.7514285714285714,0.7514285714285714
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,R1,60,54,6,296,334,297,16,54,6,296,0.16167664670658682,0.16167664670658682,280,0.8383233532934131,0.9,0.1,0.04664283447388416,0.20149464723978772,0.09508716323296355,0.15428571428571428,0.15428571428571428
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,R2,61,54,7,296,339,291,11,54,7,296,0.1592920353982301,0.1592920353982301,285,0.8407079646017699,0.8852459016393442,0.11475409836065574,0.05671202660732208,0.21844308472401078,0.09682539682539683,0.15428571428571428,0.15428571428571428
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,R3,62,54,8,296,328,294,22,54,8,296,0.16463414634146342,0.16463414634146342,274,0.8353658536585366,0.8709677419354839,0.12903225806451613,0.06685878059283037,0.2344932729017363,0.09967845659163987,0.15428571428571428,0.15428571428571428
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,R4,62,54,8,296,335,305,15,54,8,296,0.16119402985074627,0.16119402985074627,281,0.8388059701492537,0.8709677419354839,0.12903225806451613,0.06685878059283037,0.2344932729017363,0.096875,0.15428571428571428,0.15428571428571428
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,4.478954306205769e-05,True,AVAILABLE,True,R5,61,54,7,296,338,286,12,54,7,296,0.15976331360946747,0.15976331360946747,284,0.8402366863905325,0.8852459016393442,0.11475409836065574,0.05671202660732208,0.21844308472401078,0.09775641025641026,0.15428571428571428,0.15428571428571428
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,R1,30,29,1,321,334,297,16,29,1,321,0.08682634730538923,0.08682634730538923,305,0.9131736526946108,0.9666666666666667,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.04754358161648178,0.08285714285714285,0.08285714285714285
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,R2,30,29,1,321,339,291,11,29,1,321,0.0855457227138643,0.0855457227138643,310,0.9144542772861357,0.9666666666666667,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.047619047619047616,0.08285714285714285,0.08285714285714285
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,R3,30,29,1,321,328,294,22,29,1,321,0.08841463414634146,0.08841463414634146,299,0.9115853658536586,0.9666666666666667,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.04823151125401929,0.08285714285714285,0.08285714285714285
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,R4,30,29,1,321,335,305,15,29,1,321,0.08656716417910448,0.08656716417910448,306,0.9134328358208955,0.9666666666666667,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.046875,0.08285714285714285,0.08285714285714285
MODERATE,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,0.0001306209674573362,True,AVAILABLE,True,R5,30,29,1,321,338,286,12,29,1,321,0.08579881656804733,0.08579881656804733,309,0.9142011834319527,0.9666666666666667,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.04807692307692308,0.08285714285714285,0.08285714285714285
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.020781507786842852,True,AVAILABLE,False,R1,69,67,2,283,334,297,16,67,2,283,0.20059880239520958,0.20059880239520958,267,0.7994011976047904,0.9710144927536232,0.028985507246376812,0.007985202692364197,0.09966583763065553,0.10935023771790808,0.19142857142857142,0.19142857142857142
MODERATE,LOCAL_CAL_RECALIBRATION,X_hat,FDR5,0.020781507786842852,True,AVAILABLE,False,R2,75,71,4,279,339,291,11,71,4,279,0.20943952802359883,0.20943952802359883,268,0.7905604719764012,0.9466666666666667,0.05333333333333334,0.02093342774665434,0.12925987153798557,0.11904761904761904,0.20285714285714285,0.20285714285714285
