scope_type,scope_id,pixel_row,pixel_col,observed_precursor_group_count,sum_compatible_candidate_multiplicities,observed_group_multiplicity_mean,observed_group_multiplicity_median,observed_group_multiplicity_max,active_count_1e-4,active_count_1e-3,active_count_1e-2,participation_ratio,B_l2_norm
foreground_pixel,pixel_176_066,176,66,109,389,3.5688073394495414,3.0,10,111,65,22,13.153605461120605,0.5408612489700317
foreground_pixel,pixel_176_067,176,67,105,383,3.6476190476190475,3.0,10,90,53,17,11.43281078338623,0.5520661473274231
foreground_pixel,pixel_176_068,176,68,104,375,3.605769230769231,3.0,10,97,53,22,12.967863082885742,0.541583776473999
foreground_pixel,pixel_176_069,176,69,99,360,3.6363636363636362,3.0,10,91,55,22,12.16077995300293,0.6007542610168457
foreground_pixel,pixel_176_070,176,70,105,376,3.580952380952381,3.0,10,76,49,24,9.912914276123047,0.8025902509689331
foreground_pixel,pixel_176_071,176,71,101,365,3.613861386138614,3.0,10,78,53,24,10.386147499084473,0.8510240912437439
foreground_pixel,pixel_176_072,176,72,104,380,3.6538461538461537,3.0,10,102,57,21,9.182047843933105,0.9366515874862671
foreground_pixel,pixel_176_073,176,73,104,378,3.6346153846153846,3.0,10,86,60,21,9.365737915039062,0.9601384401321411
foreground_pixel,pixel_176_074,176,74,99,360,3.6363636363636362,3.0,10,79,47,24,10.571173667907715,0.7449686527252197
foreground_pixel,pixel_176_075,176,75,103,374,3.6310679611650487,3.0,10,60,46,28,11.530815124511719,0.6411799192428589
foreground_pixel,pixel_176_076,176,76,98,355,3.622448979591837,3.0,10,69,44,20,10.098051071166992,0.6199175119400024
foreground_pixel,pixel_176_077,176,77,99,357,3.606060606060606,3.0,10,54,37,22,11.477299690246582,0.5435517430305481
foreground_pixel,pixel_176_078,176,78,105,376,3.580952380952381,3.0,10,68,46,27,12.24201488494873,0.7083423137664795
foreground_pixel,pixel_176_079,176,79,100,358,3.58,3.0,10,74,52,22,9.463088989257812,0.7808084487915039
foreground_pixel,pixel_176_080,176,80,102,370,3.627450980392157,3.0,10,67,49,16,9.460880279541016,0.7145692110061646
foreground_pixel,pixel_176_081,176,81,101,369,3.6534653465346536,3.0,10,92,57,21,10.282182693481445,0.8706495761871338
foreground_pixel,pixel_176_082,176,82,100,362,3.62,3.0,10,75,55,25,10.511807441711426,0.7726443409919739
foreground_pixel,pixel_176_083,176,83,101,367,3.633663366336634,3.0,10,76,55,19,9.199318885803223,0.8409510254859924
foreground_pixel,pixel_176_084,176,84,103,371,3.6019417475728157,3.0,10,78,53,21,10.744399070739746,0.6481984853744507
foreground_pixel,pixel_176_085,176,85,100,363,3.63,3.0,10,69,39,15,10.30208683013916,0.3581654131412506
foreground_pixel,pixel_176_086,176,86,103,374,3.6310679611650487,3.0,10,101,65,24,10.1834716796875,0.984495222568512
foreground_pixel,pixel_176_087,176,87,101,368,3.6435643564356437,3.0,10,88,62,21,9.71389389038086,0.9405643343925476
foreground_pixel,pixel_176_088,176,88,102,374,3.6666666666666665,3.0,10,102,58,23,10.030969619750977,0.9106386303901672
foreground_pixel,pixel_176_089,176,89,103,371,3.6019417475728157,3.0,10,84,50,26,10.85050106048584,0.7600023150444031
foreground_pixel,pixel_177_020,177,20,100,366,3.66,3.0,10,61,42,11,15.402997970581055,0.19913144409656525
foreground_pixel,pixel_177_021,177,21,77,294,3.8181818181818183,4.0,10,56,35,7,16.442886352539062,0.10115741938352585
foreground_pixel,pixel_177_022,177,22,91,341,3.7472527472527473,3.0,10,63,38,12,13.352066993713379,0.2103419005870819
foreground_pixel,pixel_177_023,177,23,101,372,3.6831683168316833,3.0,10,75,48,20,13.199861526489258,0.48216256499290466
foreground_pixel,pixel_177_024,177,24,104,373,3.5865384615384617,3.0,10,88,58,21,13.764485359191895,0.49866917729377747
foreground_pixel,pixel_177_025,177,25,105,376,3.580952380952381,3.0,10,78,47,28,16.950960159301758,0.5236104130744934
foreground_pixel,pixel_177_026,177,26,101,366,3.623762376237624,3.0,10,85,52,22,14.792216300964355,0.4459358751773834
foreground_pixel,pixel_177_027,177,27,104,375,3.605769230769231,3.0,10,85,53,18,12.031487464904785,0.5071880221366882
foreground_pixel,pixel_177_028,177,28,101,368,3.6435643564356437,3.0,10,86,53,20,16.70319938659668,0.41775989532470703
foreground_pixel,pixel_177_029,177,29,107,387,3.616822429906542,3.0,10,82,68,25,22.505300521850586,0.45201170444488525
foreground_pixel,pixel_177_030,177,30,105,378,3.6,3.0,10,89,67,24,19.83700942993164,0.47862741351127625
foreground_pixel,pixel_177_031,177,31,102,374,3.6666666666666665,3.0,10,87,56,15,14.45541000366211,0.4028990566730499
foreground_pixel,pixel_177_032,177,32,102,370,3.627450980392157,3.0,10,85,53,20,12.576615333557129,0.4102993607521057
foreground_pixel,pixel_177_033,177,33,106,380,3.5849056603773586,3.0,10,92,49,17,11.127503395080566,0.4235140383243561
foreground_pixel,pixel_177_034,177,34,102,370,3.627450980392157,3.0,10,106,44,19,9.873209953308105,0.6304582953453064
foreground_pixel,pixel_177_035,177,35,104,372,3.576923076923077,3.0,10,81,52,22,9.827143669128418,0.8222794532775879
foreground_pixel,pixel_177_036,177,36,99,367,3.707070707070707,3.0,10,72,52,19,10.289314270019531,0.7156459093093872
foreground_pixel,pixel_177_037,177,37,103,378,3.6699029126213594,3.0,10,86,51,20,10.486342430114746,0.7165819406509399
foreground_pixel,pixel_177_038,177,38,101,371,3.6732673267326734,3.0,10,70,49,19,9.143487930297852,0.8096616864204407
foreground_pixel,pixel_177_039,177,39,96,350,3.6458333333333335,3.0,10,72,48,17,9.66272258758545,0.6740285158157349
foreground_pixel,pixel_177_040,177,40,105,381,3.6285714285714286,3.0,10,90,60,23,9.886127471923828,0.9692981839179993
foreground_pixel,pixel_177_041,177,41,101,365,3.613861386138614,3.0,10,73,54,22,10.396183967590332,0.8093668818473816
foreground_pixel,pixel_177_042,177,42,101,363,3.594059405940594,3.0,10,72,45,18,9.38000774383545,0.7562348246574402
foreground_pixel,pixel_177_043,177,43,101,369,3.6534653465346536,3.0,10,81,54,22,9.560972213745117,0.8655456900596619
foreground_pixel,pixel_177_044,177,44,102,368,3.607843137254902,3.0,10,85,50,24,11.116495132446289,0.8055994510650635
foreground_pixel,pixel_177_045,177,45,103,375,3.6407766990291264,3.0,10,71,40,21,11.228609085083008,0.581484854221344
foreground_pixel,pixel_177_046,177,46,103,373,3.621359223300971,3.0,10,92,52,20,10.860040664672852,0.6524562835693359
foreground_pixel,pixel_177_047,177,47,104,378,3.6346153846153846,3.0,10,80,49,23,18.571746826171875,0.45879003405570984
foreground_pixel,pixel_177_048,177,48,105,383,3.6476190476190475,3.0,10,78,64,32,26.36067771911621,0.4583243727684021
foreground_pixel,pixel_177_049,177,49,106,384,3.6226415094339623,3.0,10,78,66,35,25.96040153503418,0.5521486401557922
foreground_pixel,pixel_177_050,177,50,109,390,3.5779816513761467,3.0,10,84,67,33,27.188968658447266,0.4918968081474304
foreground_pixel,pixel_177_051,177,51,104,377,3.625,3.0,10,81,63,31,26.69928550720215,0.41920652985572815
foreground_pixel,pixel_177_052,177,52,108,384,3.5555555555555554,3.0,10,81,64,34,28.36214256286621,0.4661679267883301
foreground_pixel,pixel_177_053,177,53,108,389,3.6018518518518516,3.0,10,77,64,34,25.90207290649414,0.5242790579795837
foreground_pixel,pixel_177_054,177,54,109,390,3.5779816513761467,3.0,10,85,67,35,26.341405868530273,0.5203537344932556
foreground_pixel,pixel_177_055,177,55,105,379,3.6095238095238096,3.0,10,79,64,32,28.758981704711914,0.5217294096946716
foreground_pixel,pixel_177_056,177,56,105,379,3.6095238095238096,3.0,10,80,68,36,29.51880645751953,0.49558958411216736
foreground_pixel,pixel_177_057,177,57,107,383,3.5794392523364484,3.0,10,76,65,35,26.359607696533203,0.522256076335907
foreground_pixel,pixel_177_058,177,58,106,382,3.6037735849056602,3.0,10,77,68,32,26.377159118652344,0.5176845192909241
foreground_pixel,pixel_177_059,177,59,109,390,3.5779816513761467,3.0,10,75,65,36,28.103029251098633,0.5139031410217285
foreground_pixel,pixel_177_060,177,60,108,388,3.5925925925925926,3.0,10,82,69,37,24.803016662597656,0.5935550928115845
