dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__HOLD_R2_K125,D0,125,HOLD,R2,411,PEO-H__0183,PE O-18:2_22:0,PE,9.693638057167943e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,412,PEO-H__0184,PE O-18:2_22:1,PE,0.0014438505678822928,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,413,PEO-H__0185,PE O-18:2_22:2,PE,8.591624287777656e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,414,PEO-H__0186,PE O-18:2_22:3,PE,0.0032290494254778564,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,415,PEO-H__0187,PE O-18:2_22:4,PE,0.0005577539693249771,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,416,PEO-H__0188,PE O-18:2_22:5,PE,0.007760235933253981,8.538980800127182e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,417,PEO-H__0189,PE O-18:2_22:6,PE,2.207289409839498e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,418,PEO-H__0205,PE O-18:3_20:0,PE,1.6892929881390255e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,419,PEO-H__0206,PE O-18:3_20:1,PE,0.022122920921181434,1.7687377140623884e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,420,PEO-H__0207,PE O-18:3_20:2,PE,2.521364178144976e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,421,PEO-H__0208,PE O-18:3_20:3,PE,0.004901940760001215,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,422,PEO-H__0211,PE O-18:3_22:0,PE,0.0029399707348962264,1.1343900581957373e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,423,PEO-H__0212,PE O-18:3_22:1,PE,0.0022097061491352025,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,424,PEO-H__0213,PE O-18:3_22:2,PE,0.0022399130852651327,1.1518703503387944e-27,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,425,PEO-H__0214,PE O-18:3_22:3,PE,0.00011450159810263793,,NOT_COMPUTED,False,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,426,PEO-H__0215,PE O-18:3_22:4,PE,1.5528892740979202e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,427,PEO-H__0216,PE O-18:3_22:5,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,428,PEO-H__0217,PE O-18:3_22:6,PE,0.0027268882437176253,3.3591162124774587e-28,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,429,PEO-H__0229,PE O-20:0_18:0,PE,0.007175119436391506,3.155630670601436e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,430,PEO-H__0230,PE O-20:0_18:1,PE,0.0022317824886690964,1.0577314612062079e-27,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,431,PEO-H__0231,PE O-20:0_18:2,PE,0.02918936561941222,1.4957508503849866e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,432,PEO-H__0232,PE O-20:0_18:3,PE,0.0015851247156336173,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,433,PEO-H__0233,PE O-20:0_20:0,PE,1.3930467956370053e-09,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,434,PEO-H__0234,PE O-20:0_20:1,PE,0.0014816525585358042,0.0,COMPUTED,True,False,False,False
