dataset_id,lipid_name,K,replicate,truth,reportable_truth,clean_raw,mild_raw,clean_rho,mild_rho,clean_X_hat,mild_X_hat,clean_at_clean,clean_at_mild,mild_at_clean,mild_at_mild,score_direction,cone_isolation,max_fragment_cosine
HOLD_R1_K050,PC 14:0_20:2,50,R1,False,False,False,False,,,0.0005816984509547914,0.0002756454497003644,False,False,False,False,not_jointly_reported,0.3254331442131747,0.6041425983942957
HOLD_R1_K050,PC 14:0_20:3,50,R1,False,False,False,False,,,7.763281691598361e-07,4.0533313312827075e-06,False,False,False,False,not_jointly_reported,0.39431987909766586,0.7479417800620244
HOLD_R1_K050,PC 14:0_20:4,50,R1,True,True,True,True,0.0008304123836083143,0.0007240128838356756,0.027652813597848415,0.024843619377382,True,True,True,True,down,0.6036768381098416,0.7745273553735048
HOLD_R1_K050,PC 14:1_17:1,50,R1,False,False,False,False,,,1.5810883649199273e-05,1.8081844570552005e-05,False,False,False,False,not_jointly_reported,0.8078312049387865,0.36304209523983627
HOLD_R1_K050,PC 14:1_20:1,50,R1,False,False,True,True,0.0,8.543278753361592e-07,0.003295264639574808,0.0034062630376378855,False,False,True,False,up,0.4158486366407816,0.6900215947371616
HOLD_R1_K050,PC 16:0_16:0,50,R1,False,False,False,False,,,0.0009128056125836903,0.0005500391922538697,False,False,False,False,not_jointly_reported,"{""345"": 0.00439247404365462, ""357"": 0.01580146506998347, ""379"": 0.074235030035795}","{""345"": 0.9997981100893683, ""357"": 0.9997981100893683, ""379"": 0.9952284460415796}"
HOLD_R1_K050,PC 16:0_16:1,50,R1,False,False,False,False,,,9.730083244573568e-05,9.586205411575753e-07,False,False,False,False,not_jointly_reported,"{""346"": 0.2950266638772892, ""358"": 0.14078117259663253, ""380"": 0.12024383132576463}","{""346"": 0.8916824709922263, ""358"": 0.9182882348380778, ""380"": 0.9182882348380778}"
HOLD_R1_K050,PC 16:0_18:0,50,R1,False,False,False,False,,,1.0819357701418409e-08,0.0,False,False,False,False,not_jointly_reported,0.49212912704514206,0.6471130837014081
HOLD_R1_K050,PC 16:0_18:1,50,R1,False,False,False,False,,,0.0007860064966238138,0.0004272516013372531,False,False,False,False,not_jointly_reported,0.3986166534022413,0.6482926248318512
HOLD_R1_K050,PC 16:0_18:2,50,R1,False,False,True,True,1.0741757318317441e-21,8.912298477926639e-08,0.006631921497492928,0.00603638208735283,False,False,True,False,up,0.3131917397743864,0.5996238721920917
